"FAIRFIELD",,,,,,,,,,,,
Grid ref,NY358117,Long,-2.992743,Lat,54.496545,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,4.38,,,,,,,,,,
February,15.44,2.58,,,,,,,,,,
March,,6.98,,,,,,,,,,
April,7.59,4.19,,,,,,,,,,
May,5.42,3.28,,,,,,,,,,
June,8.43,4.99,,,,,,,,,,
July,3.68,1.52,,,,,,,,,,
August,12.10,10.37,,,,,,,,,,
September,7.40,10.24,,,,,,,,,,
October,12.66,8.55,,,,,,,,,,
November,7.06,7.79,,,,,,,,,,
December,17.06,6.20,,,,,,,,,,
Total,96.84,71.07,,,,,,,,,,
Calc annual,96.84,71.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
