MANCHESTER FAIRFIELD (float gauge),,,,,,,,,,
Grid ref,SJ901979,Long,-2.151,Lat,53.478,Elevation,320,ft,,
Station no,RR142,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,1.8,3.3,1.5,,
February,,,,,,1.7,1.3,3,,
March,,,,,,3,1.7,0.8,,
April,,,,,,2.2,3,3.3,,
May,,,,,,1.1,0.9,5.1,,
June,,,,,,3.7,2.4,3.3,,
July,,,,,,3.4,3.9,0.95,,
August,,,,,,6.7,3.6,3.7,,
September,,,,,,2.8,0.8,5.5,,
October,,,,,,3.7,4.7,4.8,,
November,,,,,,2.8,3.1,3.5,,
December,,,,,,6,1.5,5.3,,
Total,,,,,,38.9,30.2,40.75,,
,,,,,,,,,,
"This site is on the Ashton Canal network, which passes through Fairfield. The canal was later owned by the MS&L Railway Company.",,,,,,,,,,
"There is no detailed location on the rainfall sheets, the grid reference above is for Fairfield Top Lock as a possible location for the rain gauge.",,,,,,,,,,
