OAKWOOD-RESERVOIR (THUNDERSLEY-GLENMERE-PARK-AVE),,,,,,,,,,
Grid ref,TQ797876,Long,0.59092001,Lat,51.558654,Elevation,250,ft,,
Station no,1275/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.68,2.08
February,,,,,,,,,0.96,1.57
March,,,,,,,,,1.55,2.57
April,,,,,,,,,1.94,1.58
May,,,,,,,,,1.82,
June,,,,,,,,,0.98,
July,,,,,,,,,0.73,
August,,,,,,,,,2.53,
September,,,,,,,,,0.75,
October,,,,,,,,,7.65,
November,,,,,,,,,3.76,
December,,,,,,,,2.51,1.14,
Total,,,,,,,,,27.49,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1940 May estimated,,,,,,,,,,
