SWANSEA-WW-CRAY-RES-NO2-NEW,,,,,,,,,,
Grid ref,SN880209,Long,-3.6283473,Lat,51.875387,Elevation,1019,ft.,,
Station no,4188/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,9.75,7.5,2.54,4.95,8.79,11.69,18.53,8.82,9.73,11.17
February,8,2,4.25,10.23,3.67,1.09,12.14,12.86,1.09,10.98
March,7.5,6.25,5.85,7.28,5.28,4.93,11.12,2.18,9.23,4.17
April,5.25,5.75,6.75,2.19,7.19,2.89,1.17,2.53,7.91,7.21
May,4,6.25,4.75,6.87,8.73,3.13,5.27,8.32,2.63,2.83
June,2.5,5.25,3.25,7.82,9.79,6.08,2.15,5.17,6.53,4.23
July,2.25,2.75,7.75,7.86,1.61,6.18,8.17,6.66,7.27,9.73
August,9.25,9.5,5.75,9.87,2.49,9.73,7.63,5.76,1.69,6.83
September,6.75,5,7.75,10.93,4.45,9.27,14.84,14.27,0.61,7.38
October,2.25,7.75,5.75,21.23,4.93,4.96,8.51,8.13,10.13,11.13
November,13.75,6,9.75,19.67,6.67,2.68,4.76,4.43,14.73,19.27
December,9.25,6.5,2.75,12.85,12.89,11.08,8.18,8.67,17.87,11.76
Total,80.5,70.5,66.89,121.75,76.49,73.71,102.47,87.8,89.42,106.69
,,,,,,,,,,
"NGR is from the 1950s record and is beside Cray reservoir. Altitudes match. Note on record states New No 2 gauge is 30 ft NE of old No 2, which is better reflected by the more accurate NGRs on the record sheets.",,,,,,,,,,
