"SWANSEA W.W. CRAY RESERVOIR",,,,,,,,,,,,
Grid ref,SN887220,Long,-3.618538,Lat,51.885413,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,3.44,,
February,,,,,,,,,,1.33,,
March,,,,,,,,,,6.44,,
April,,,,,,,,,,5.67,,
May,,,,,,,,,,2.74,,
June,,,,,,,,,,4.28,,
July,,,,,,,,,,4.67,,
August,,,,,,,,,,2.50,,
September,,,,,,,,,,4.97,,
October,,,,,,,,,,13.18,,
November,,,,,,,,,,3.42,,
December,,,,,,,,,,13.84,,
Total,,,,,,,,,,66.48,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.48,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
