TAVISTOCK-STATSFORD-WHITCHURCH-(ROSE-VILLA),,,,,,,,
Grid ref,SX478749,Long,-4.14964,Lat,50.5545,Elevation,393,ft
Station no,RR7912,,,,,,,
,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897
January,,,,,6.48,6.43,1.72,3.8
February,,,,,2.94,0.11,1.2,5.5
March,,,,,3.43,3.9,5.45,5.85
April,,,,0.66,3.26,3.85,0.96,3.76
May,,,,2.15,3.66,0.68,0.09,2.19
June,,,,1.36,2.47,2.35,2.08,2.18
July,,,,5.79,3.67,5.6,2.75,2.39
August,,,,2.53,3.94,4.68,3.61,6.64
September,,,,3.07,2.7,0.82,7.22,5.15
October,,,,3.85,5.25,5.29,5.31,1.91
November,,,,3.25,9.73,8.88,2,3.29
December,,,,6.54,5.12,5.2,10.39,9.93
Total,,,,,52.65,47.79,42.78,52.59
,,,,,,,,
1894 Jan 1 Gauge moved 180ft SE,,,,,,,,
1898 Jan 1 Gauge moved to Higher Statsford 2.25 miles SE,,,,,,,,
