ABBESS-RODING-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL571113,Long,0.27584099,Lat,51.77832,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,0.7,2.4,2.38,0.65,0.57,1.82,2.09,,4.81,1.73,1.16,0.99,1.42,1.41,,,,,,,,
February,,,,,,,,,1.26,1.73,2.85,0.42,1.1,0.71,3.82,,2.82,1.06,1.26,0.57,2.1,1.23,,,,,,,,
March,,,,,,,,,1.4,0.3,0.9,1.16,1.18,1.86,1.75,,1.56,1.14,2.5,2.93,1.14,1.9,,,,,,,,
April,,,,,,,,,1.42,2.53,1.11,1.39,0.5,2.8,0.73,,0.84,2.7,2.85,2,1.37,0.9,,,,,,,,
May,,,,,,,,,2.59,1.11,0.66,1.39,1.83,1.87,1.58,,1.39,2.04,1.07,1.33,2.42,1.42,,,,,,,,
June,,,,,,,,,1.76,0.94,2.57,0.98,2.84,4.74,1.34,,1.48,1.97,1.18,3.11,1.36,1.55,,,,,,,,
July,,,,,,,,,0.95,1.73,1.07,1.49,1.08,4.36,2.24,,0.58,1.68,2.83,3.82,2.98,0.87,,,,,,,,
August,,,,,,,,,1.07,0.95,2.96,0.86,3.23,4.32,1.4,,1.68,2.19,2.5,2.26,2.23,0.37,,,,,,,,
September,,,,,,,,,0.25,2.82,0.5,1.24,1.73,2.87,2.25,,1.55,0.34,1.33,2.12,0.79,1.45,,,,,,,,
October,,,,,,,,,2.56,1.71,1.92,2.73,0.74,6.16,1.7,,5.07,2.78,1.71,4.14,0.79,1.97,,,,,,,,
November,,,,,,,,,1.79,,2.06,0.51,0.53,2.49,1.64,,4.13,1.69,0.73,0.87,3.55,3.16,,,,,,,,
December,,,,,,,,,2.86,,2.68,2.76,2.41,1.5,0.55,,1.65,3.27,1.51,2.73,4.19,3.98,,,,,,,,
Total,,,,,,,,,18.61,,21.66,15.58,17.74,35.5,21.09,,27.56,22.59,20.63,26.87,24.34,20.21,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902 noted as doubtful for correctness esp August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
