Rainfall at,NORTH RONALDSAY
,
Station no,5829,
,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,1.60,6.83,1.63,4.00,3.48,2.31,3.98,4.25,6.01,3.80,
February,3.06,2.98,2.57,2.61,2.98,4.02,1.03,2.80,3.62,4.10,
March,0.82,1.55,1.82,2.67,1.75,1.95,2.40,3.22,3.29,3.61,
April,1.54,1.02,2.49,2.49,1.60,3.29,2.57,1.58,2.98,2.42,
May,1.81,1.87,3.47,2.54,1.83,0.83,0.73,1.55,1.51,0.42,
June,0.63,1.84,0.63,1.51,1.89,2.57,1.37,1.09,1.25,3.28,
July,3.55,1.77,1.02,0.95,1.78,2.62,1.28,1.59,0.91,2.26,
August,3.34,2.10,2.21,1.34,2.89,2.00,0.08,2.57,2.56,2.00,
September,2.23,4.30,2.29,2.64,2.19,2.91,5.93,3.81,2.89,3.18,
October,3.23,6.23,1.72,4.22,2.38,0.75,2.81,5.41,3.56,3.74,
November,4.41,2.75,3.74,4.48,1.59,5.38,5.54,3.04,5.72,4.54,
December,4.06,4.40,3.09,3.17,5.02,5.70,3.24,4.18,6.07,3.94,
Total,30.28,37.64,26.68,32.62,29.38,34.33,30.96,35.09,40.37,37.29,
Calc annual,30.28,37.64,26.68,32.62,29.38,34.33,30.96,35.09,40.37,37.29,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
