"NEW CUMNOCK (BANK COLLIERY 1954)",,,,,,,,,,,,
Grid ref,NS595114,Long,-4.218878,Lat,55.376411,,,,,,,
Station no,5275,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.64,5.51,2.74,5.51,3.83,3.57,6.31,6.89,3.03,4.61,,
February,3.06,2.18,1.79,3.79,1.92,1.42,4.13,4.98,1.93,6.47,,
March,3.41,2.69,1.10,3.57,1.50,3.30,3.21,1.20,3.22,1.70,,
April,4.19,2.73,3.39,2.15,2.58,1.98,2.24,2.08,4.00,5.94,,
May,2.48,2.54,3.12,4.81,3.60,2.43,2.76,2.73,1.16,1.99,,
June,1.59,3.07,1.03,3.67,2.52,3.45,1.54,3.62,3.11,3.16,,
July,2.85,4.04,4.37,4.34,2.11,5.49,5.20,4.68,5.70,2.85,,
August,8.14,2.92,3.16,5.44,1.78,8.07,6.66,5.21,1.21,4.05,,
September,5.33,2.76,5.88,8.90,4.91,4.85,3.21,5.10,1.76,3.56,,
October,0.94,5.51,4.84,9.40,3.63,4.10,5.22,4.15,8.30,3.62,,
November,11.71,3.05,7.04,10.38,3.48,3.07,2.67,1.70,7.43,10.00,,
December,9.17,4.94,5.16,8.80,8.64,7.17,6.60,6.13,9.07,6.44,,
Total,57.51,41.94,43.62,70.76,40.50,48.90,49.75,48.47,49.92,54.39,,
Calc annual,57.51,41.94,43.62,70.76,40.50,48.90,49.75,48.47,49.92,54.39,,
Difference,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
