NEW CUMNOCK (BANK COLLIERY 1954),,,,,,,,,,
Grid ref,NS595114,Long,-4.218878,Lat,55.376411,Elevation,741,ft,,
Station no,5275,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.83,3.57,6.31,6.89,3.03,4.61
February,,,,,1.92,1.42,4.13,4.98,1.93,6.47
March,,,,,1.5,3.3,3.21,1.2,3.22,1.7
April,,,,,2.58,1.98,2.24,2.08,4,5.94
May,,,,,3.6,2.43,2.76,2.73,1.16,1.99
June,,,,,2.52,3.45,1.54,3.62,3.11,3.16
July,,,,,2.11,5.49,5.2,4.68,5.7,2.85
August,,,,,1.78,8.07,6.66,5.21,1.21,4.05
September,,,,,4.91,4.85,3.21,5.1,1.76,3.56
October,,,,9.4,3.63,4.1,5.22,4.15,8.3,3.62
November,,,,10.38,3.48,3.07,2.67,1.7,7.43,10
December,,,,8.8,8.64,7.17,6.6,6.13,9.07,6.44
Total,,,,,40.5,48.9,49.75,48.47,49.92,54.39
