STRATHMORE LODGE,,,,,,,,,,
Grid ref,NH124412,Long,-5.12585,Lat,57.422309,Elevation,673,ft,,
Station no,5767/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,9.68,8.6,2.7,,,9.81,5.74,
February,,,6.19,4.1,4.78,,,6.85,4.39,
March,,,3.34,5.05,3.89,,,3.32,5.13,
April,,,5.99,3.78,4.81,,,8.45,6.57,
May,,,3.19,4.95,,,,7.64,4.29,
June,,,0.8,3.75,,,,3.13,3.15,
July,,,4.15,4.07,,,4.89,3.27,6.65,
August,,,4.37,6.46,,,8.97,6.6,6.47,
September,,,5.03,6.72,,,7.78,5.24,4.26,
October,,,3.29,13.36,,,10.67,9.33,8.2,
November,,,5.45,7.93,,,3.89,2.09,5.18,
December,,,7.17,13.57,,,11.67,7.47,5.04,
Total,,,58.65,82.34,,,,73.2,65.07,
,,,,,,,,,,
G Moved from Patt 1953,,,,,,,,,,
BR 1953 P,,,,,,,,,,
BR 1954 P,,,,,,,,,,
1955 NP incomplete,,,,,,,,,,
1955 G was supposed to move but did not?,,,,,,,,,,
BR 1958 P,,,,,,,,,,
BR 1959 NP Low,,,,,,,,,,
area now under water,,,,,,,,,,
,,,,,,,,,,
Station no,5767/8,,,,,,,,,
Midas,14592,,,,,,,,,
Hyd Stn,796142,,,,,,,,,
