"DALRY (SOUTH BRADSHAW)",,,,,,,,,,,,
Grid ref,NS246528,Long,-4.795278,Lat,55.736735,,,,,,,
Station no,5249/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.40,8.10,3.30,6.30,4.35,4.25,6.05,6.65,2.80,6.05,,
February,3.00,1.85,2.90,5.95,3.25,2.35,4.05,5.55,2.30,5.35,,
March,4.25,4.45,1.05,4.00,1.50,3.35,6.45,2.40,3.85,2.75,,
April,2.30,2.70,2.65,2.70,5.30,2.00,2.95,2.20,4.15,5.75,,
May,2.80,2.45,3.00,3.40,4.55,3.20,3.00,4.40,1.95,3.30,,
June,2.25,3.90,1.70,5.50,5.00,3.15,3.15,4.10,4.20,4.25,,
July,5.00,4.55,5.60,4.95,1.40,7.55,7.50,6.35,6.55,6.55,,
August,5.20,5.90,4.50,8.55,1.50,7.05,4.35,6.20,1.40,5.20,,
September,5.05,4.25,7.25,8.15,5.95,6.70,3.65,5.00,2.35,4.45,,
October,1.85,6.45,4.90,11.70,3.65,3.45,7.10,5.00,6.90,4.00,,
November,7.90,3.30,8.45,9.00,4.00,2.55,2.35,3.25,5.10,7.70,,
December,7.85,6.40,5.95,6.60,8.60,6.30,6.20,8.95,8.55,6.75,,
Total,52.85,54.30,51.25,76.80,49.05,51.90,56.80,60.05,50.10,62.10,,
Calc annual,52.85,54.30,51.25,76.80,49.05,51.90,56.80,60.05,50.10,62.10,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,,
