ASHOPTON-HAGLEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK163881,Long,-1.7563767,Lat,53.389491,Elevation,783,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,6.27,,,,,,,5.26,1.29,2.7,2.17,3.89,1.63,4.44,4.23,2.8,,,,,
February,,,,,,,,,,2,,,,,,,3.63,1.98,3.23,3.43,3.44,4.13,1.83,1.66,1.95,,,,,
March,,,,,,,,,,2.5,,,,,,,3.5,4.2,3.78,4.02,0.96,2.25,3.79,4.55,4.45,,,,,
April,,,,,,,,,,4.13,,,,,,,1.63,2.8,3.15,2.26,3.88,3.1,1.04,3.19,1.76,,,,,
May,,,,,,,,,,3.34,,,,,,,2.52,3.91,3.4,2.53,2.92,0.9,3.23,2.35,2.76,,,,,
June,,,,,,,,,,2.57,,,,,,,1.68,5.5,2.56,4.17,3.21,3.07,4.51,1.83,3.67,,,,,
July,,,,,,,,,,1.91,,,,,,,2.66,2.1,4.73,4.74,4.29,0.31,5.81,1.21,4.22,,,,,
August,,,,,,,,,,2.14,,,,,,,3.18,3.35,3.92,2.03,5.09,2.21,7.62,1.79,2.45,,,,,
September,,,,,,,,,0.83,7.55,,,,,,,1.42,0.57,2.98,3.13,0.36,2.9,2.62,2.65,3.19,,,,,
October,,,,,,,,,5.04,4.09,,,,,,,6.09,6.86,1.4,5.07,2.77,3.4,3.9,4.66,3.33,,,,,
November,,,,,,,,,3.57,2.32,,,,,,,5.45,3.67,2.92,1.43,6.08,4.47,3.09,4.72,5.81,,,,,
December,,,,,,,,,5.17,,,,,,,,3.87,3.3,2.19,8.11,6.73,6.21,5.83,3.02,6.97,,,,,
Total,,,,,,,,,,,47.29,39.36,33.64,45.82,30.99,32.99,40.89,39.53,36.96,43.09,43.62,34.58,47.71,35.86,43.36,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Hagglee in the River Ashop Valley at the stated altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890s record has different observer and no stated altitude and may be a different location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
