HOLME-ON-SPALDING-MOOR - PARK GATES,,,,,,,,
Grid ref,SE813382,Long,-0.766,Lat,53.834,Elevation,30,ft
Station no,3396,,,,,,,
,,,,,,,,
,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.39,1.48,4.44,1.23,2.34,1.90,
February,,1.77,1.57,1.90,1.77,4.01,0.25,
March,,2.11,2.18,1.23,1.44,2.14,0.78,
April,,0.20,0.94,1.68,0.27,1.05,2.71,
May,,2.77,3.25,0.59,0.90,1.90,0.80,
June,1.41,2.24,2.27,3.03,2.10,3.68,1.13,
July,2.45,2.09,1.18,3.68,2.59,4.07,0.98,
August,2.73,4.34,0.74,6.12,6.91,1.90,0.32,
September,1.46,2.35,1.06,1.32,3.47,1.59,0.12,
October,1.38,3.60,1.65,1.33,1.49,1.78,1.92,
November,1.79,4.07,1.31,0.93,1.83,0.84,2.38,
December,1.13,2.02,2.80,1.66,2.19,3.13,,
Total,,28.95,20.43,27.91,26.19,28.43,,
,,,,,,,,
TYRain_1951-1960_20_pt1/195,,,,,,,,
,,,,,,,,
# The gauge arrived from the Vicarage site in June 1953.,,,,,,,,
# The Park Gates site is near to the West Lodge in Holme Hall grounds.,,,,,,,,
