MANOD-FFESTINIOG,,,,,,,,,,,,,,,,,,,,
Grid ref,SH704449,Long,-3.9320019,Lat,52.985717,Elevation,713,ft.,,,,,,,,,,,,
Station no,4335/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,8.57,7.87,9.31,11.63,4.98,9.51,7.93,7.43,14.89,7.72,,
February,,,,,,,,,5.71,10.12,6.85,4.47,7.36,7.93,4.52,2,5.76,15.01,,
March,,,,,,,,,6.39,4.54,12.07,7.76,3.69,6.74,2.84,5.43,10.55,2.58,,
April,,,,,,,,,10.02,8.51,6.78,3.49,5.83,3.73,9.18,3.07,1.77,4.03,,
May,,,,,,,,,6.23,1.87,2.39,3.55,4.3,4.91,6.79,3.05,3.57,7.74,,
June,,,,,,,,,1.72,8.33,2.64,8.43,3.37,6.7,11.11,4.08,4.92,4.25,,
July,,,,,,,,,4.79,8.01,4.16,2.9,12.9,14.74,2.44,10.68,13.42,7.7,,
August,,,,,,,,9.64,7.29,15.99,9.44,6.23,10.25,12.51,2.04,15.98,10.92,7.6,,
September,,,,,,,,10.79,2.71,18.5,12.05,8.53,9.41,10.37,5.29,7.74,13.72,12.52,,
October,,,,,,,,9.62,11.24,9.8,2.05,7.06,3.81,23.33,6.41,7.57,17.95,9.68,,
November,,,,,,,,8.28,9.81,9.94,13.38,6.56,13.52,12.7,3.07,5,3.72,5.02,,
December,,,,,,,,9.36,16.43,7.17,17.57,10.19,4.62,14.42,11.93,9.83,10.08,6.68,,
Total,,,,,,,,,90.91,110.65,98.69,80.8,84.04,127.59,73.55,81.86,111.27,90.53,,
,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record for Ffestiniog Penmaesllan because I think the observer for both locations, Ffestiniog U. D. C. has mixed up the NGRs for the locations.",,,,,,,,,,,,,,,,,,,,
The NGR on the record of SH701422 is 2 miles south of Manod. The altitudes are a better match but the relationships to Manod church and station suggest the gauge might be up to 500 m North.,,,,,,,,,,,,,,,,,,,,
