MIDDLESBOROUGH ON TEES (SOUTHFIELD VILLAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ495197,Long,-1.2359,Lat,54.5708,Elevation,21,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,0.88,1.63,1.02,3.03,1.58,1.55,0.83,0.94,1.47,0.92,1.09,1.74,0.52,3.25,2.03,0.84,0.2,0.89,0.67,1.12,2.93,1.28,,,,
February,,,,,0.92,0.62,0.96,0.51,0.46,1.11,1.2,1.15,2,1.16,0.76,0.66,1.71,1.57,0.48,1.97,1.33,2.29,0.59,1.15,0.59,1.14,,,,
March,,,,,1.65,0.91,1.61,1.64,0.98,1.49,1.33,0.45,2.38,1.21,1.13,0.33,1.94,2.15,0.71,0.57,1.3,1.55,1.28,1.14,1.1,1.35,,,,
April,,,,,1.29,0.8,1.54,1.48,1.51,1.05,0.23,2.35,2.52,1.21,0.6,0.73,1.81,2.63,1.47,1.36,1.66,1.2,4.61,0.86,1.62,1.62,,,,
May,,,,,1.52,2.95,0.7,1.89,0.98,2.15,0.67,1.66,2.62,1.89,2.22,1.05,1.1,2.36,1.91,1.72,1.18,0.67,2.15,1.42,0.39,2.96,,,,
June,,,,,2.23,0.62,1.49,1.16,0.45,0.96,2.91,3.41,3.24,1.03,1.36,2.67,3.13,1.25,2.25,2.73,1.73,0.9,2.54,1.62,0.85,1.82,,,,
July,,,,,0.49,1.72,3.86,2.08,0.78,1.47,0.45,5.52,3.15,1.94,1.13,3.24,3.11,2.17,0.52,2.93,4.49,5.21,2.55,4.68,2.71,0.57,,,,
August,,,,,1.18,4.45,3.24,1.47,1.6,1.31,1.86,0.7,3.53,2.08,1.66,2.25,1.81,4.16,5.73,2.75,1.82,4.29,2.41,1.69,0.91,2.13,,,,
September,,,,,1.02,0.26,2.96,1.14,2.92,2.99,0.69,4.52,5.26,1.02,2.59,1.71,3.21,2.6,1.36,0.6,4.46,2.65,1.85,2.86,1,2.2,,,,
October,,,,,3.26,4.82,1.74,1.28,1.7,2.33,3.26,2.26,3.43,1.84,0.95,2.77,1.66,2.18,1.9,0.61,5.11,3.16,4.06,2.05,0.95,3.71,,,,
November,,,,1.4,1.94,2.12,1.53,0.52,1.08,2.3,2.82,1.52,2.8,1.35,2.08,5.66,3.06,0.96,5.79,2.05,1.87,1.17,3.27,1.06,1.05,0.68,,,,
December,,,,1,1.63,0.74,1.96,1.66,3.13,2.36,3.83,1.73,2.3,0.21,2.75,1.47,4.54,1.56,3.97,0.44,3.23,1.73,3.27,1.79,1.64,0.86,,,,
Total,,,,,18.01,21.64,22.61,17.86,17.17,21.07,20.08,26.21,34.7,15.86,18.32,24.28,27.6,26.84,28.12,18.57,28.38,25.71,29.25,21.44,15.74,20.32,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
During the 1850s villas were built at Southfield Road... For leading business such as William Fallows - the observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In 1871 he and family lived at no 4; long demolished and now parts of Teesside Uni on the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
