GAM-AFON-CANNON,,,,,,,,,,,,,,,,,,,,
Grid ref,SH949079,Long,-3.5552881,Lat,52.658602,Elevation,1120,ft.,,,,,,,,,,,,
Station no,4253/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.38,7.25,8.12,3.5,8.75,5,9,8,7.4,4.5,9.5
February,,,,,,,,,,11.82,6.8,3.2,4.5,7,3.5,1.5,4.5,,0.5,4.8
March,,,,,,,,,,2.7,8.5,3.5,6.5,,4,5,8,2,4,2.7
April,,,,,,,,,,8.5,5,2,4.5,3,4,2.5,0.5,2,5,
May,,,,,,,,,,1.2,3.5,4,3.2,4.5,7,1,3.2,,1,2
June,,,,,,,,,,3.8,2.54,4.25,1.75,6.25,,4.5,1.5,4,,2.5
July,,,,,,,,,,5.2,3.7,,10,11,,7.12,9.5,7.5,7.5,7.5
August,,,,,,,,,,10.3,6,5.48,5.5,6.5,,10.9,10.65,5.5,1,8
September,,,,,,,,,,14.5,6.4,5.4,7.4,8.5,2.5,,11.15,11.5,,6
October,,,,,,,,,,5.1,2.4,8.45,4,17,6,4,,5.5,9.3,7
November,,,,,,,,,9.3,6.6,11.5,4.5,7,10.75,4,4.5,,,5.8,13.75
December,,,,,,,,,16.55,4.25,13,7.5,2,11.5,8.5,,8.75,8,12.75,
Total,,,,,,,,,,78.35,76.59,,59.85,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s records and is on Afon (river) Cannon. Altitudes match,,,,,,,,,,,,,,,,,,,,
June 1959 reading unclear looks like 0.25 but this is about 10% of nearby sites. Reading removed,,,,,,,,,,,,,,,,,,,,
