LLANDOVERY-GRAMMAR-SCHOOL,,,,,,,,,,
Grid ref,SN765348,Long,-3.8003094,Lat,51.997867,Elevation,220,ft.,,
Station no,4106,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,7.96,,,
February,,,,,,,3.67,,,
March,,,,,,2.75,3.78,,,
April,,,,,,1.67,0.47,,,
May,,,,,,,1.98,,,
June,,,,,,3.11,1.21,,,
July,,,,,,8.3,3.68,,,
August,,,,,,10.06,3.44,,,
September,,,,,,6.17,6.81,,,
October,,,,,,1.59,3.63,,,
November,,,,,2.56,2.47,3.83,,,
December,,,,,,,2.53,,,
Total,,,,,,,42.99,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
"NGR is from the 1950s record and is the Grammar School, Altitiude is from OS maps. Gauge moved here in 1955, assumed to be Dec 1955.",,,,,,,,,,
