HAMMERSMITH-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ232782,Long,-0.22690429,Lat,51.489336,Elevation,19,ft.,,,,,,,,,,,,
Station no,27,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.63,2.45,4.7,1.58,1.8,1.45,1.39,3.31,0.8,0.83,3.1,1.48,0.89,0.96,2.32,3.6,1.28,1.86,2.54,1.56
February,1.76,0.75,1.36,0.84,1.38,2.55,1.22,1.37,0.87,3.17,5.04,0.78,1.26,2.19,1.43,0.22,2.89,2.06,0.06,2.12
March,3.21,1.73,0.32,0.05,0.89,1.15,4.68,0.56,0.86,0.62,3.06,2.61,0.49,2.02,0.97,0.97,1,1.17,1.42,1.81
April,1.48,0.77,0.92,1.34,1.02,2.12,1.49,1.17,1.53,2.19,2.57,1.36,2.45,0.32,0.3,1.01,0.25,1.45,2.4,0.48
May,1.78,2.65,1.81,0.98,2.53,3.39,1.22,1.83,2.05,1.62,2.02,1.64,1.32,2.74,4.44,0.19,1.2,2.4,0.6,1.67
June,2.12,0.94,1.43,1.62,1.8,2.77,2.58,1.84,0.53,1.65,1.1,1.57,2.21,3.79,2.09,1.7,0.91,5.1,1.11,0.89
July,4.57,1.76,1.71,1.54,2.63,1.81,1.93,0.98,1.48,3.32,1.01,0.53,4,2.51,0.88,5.53,2.92,2.15,1.3,3.17
August,5.44,1.62,0.99,2.27,1.18,3.81,0.28,2.95,1.3,2.06,2.86,2.4,1.7,3.57,0.82,4.04,1.99,3.31,0.99,2.97
September,0.49,0.79,1.72,2.39,1.44,3.18,1.23,1,0.29,2.71,2.32,2.73,1.59,1.79,1.49,1.95,2.49,3.85,0.06,3.79
October,0.57,3.48,2.4,2.49,2.09,1.08,0.18,2.14,5.12,0.38,1.02,2.51,3.08,2.16,2.52,2.08,1.73,2.71,2.05,5.08
November,2.2,1.95,1.34,3.79,0.2,3.14,0.93,1.66,2.02,4.51,4.81,3.46,0.92,3.63,0.59,0.39,2.31,1.95,2.45,3.69
December,1.8,2.32,1.39,1.19,2.75,1.82,2.29,2.36,1.39,1.72,1.67,2.45,0.58,1.73,1.77,2.29,2.1,2.72,3.31,2.24
Total,28.05,21.21,20.09,20.08,19.71,28.27,19.42,21.17,18.24,24.78,30.58,23.52,20.49,27.41,19.62,23.97,21.07,30.73,18.29,29.47
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record but this is not the pumping station. There is a pumping Station at TQ231780, which is now being used for the new Thames Tideway scheme. From the changing distance to church and station it seems the gauge may have moved aound the area. I think the NGR is +/- 500 yards. There is another more signifivant pumping station the other side of the Creek at TQ223783 but this does fit any of the descriptions on the sheets.",,,,,,,,,,,,,,,,,,,,
