"DALRY W.W. (FILTERS)",,,,,,,,,,,,
Grid ref,NS277501,Long,-4.744265,Lat,55.713616,,,,,,,
Station no,5248,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,4.48,,
February,,,,,,,,,,2.55,,
March,,,,,,,,,,1.51,,
April,,,,,,,,,,5.17,,
May,,,,,,,,,,2.74,,
June,,,,,,,,,,3.31,,
July,,,,,,,,,,5.77,,
August,,,,,,,,,,3.36,,
September,,,,,,,,,,2.38,,
October,,,,,,,,,,8.10,,
November,,,,,,,,,,3.47,,
December,,,,,,,,,,5.82,,
Total,,,,,,,,,,48.66,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.66,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
