"EAGLESHAM ( DUNWAN RES. ) NO 2",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5276/7,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,,6.78,5.00,1.69,,
February,,,,,,,,2.85,7.49,1.99,,
March,,,,,,,,4.86,3.80,6.02,,
April,,,,,,,,1.02,3.00,3.48,,
May,,,,,,,,5.45,1.03,1.11,,
June,,,,,,,,6.08,2.42,1.61,,
July,,,,,,,,7.01,6.19,3.70,,
August,,,,,,,,3.70,1.59,3.76,,
September,,,,,,,,4.94,2.54,5.32,,
October,,,,,,,,9.49,2.69,4.65,,
November,,,,,,,,7.05,10.97,7.03,,
December,,,,,,,,2.60,3.20,6.04,,
Total,,,,,,,,61.83,49.92,46.40,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.83,49.92,46.40,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
