PRESTON ATHERTON TERRACE,,,,,,,,,,,,,,,,,,,,
Grid ref,SD5328330041,Long,-2.7101698,Lat,53.764612,Elevation,143,ft,,,,,,,,,,,,
Station no,RR2901,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,3.23,4.23,3.21,1.71,4.76,,,,,,,
February,,,,,,,,,2.95,5.23,3.26,2.98,4.74,,,,,,,
March,,,,,,,,,3.68,0.83,2.7,1.66,3.94,,,,,,,
April,,,,,,,,,2.11,2.8,1.67,2.67,2.84,,,,,,,
May,,,,,,,,,1.76,3.91,1.75,1.81,2.09,,,,,,,
June,,,,,,,,,1.01,1.94,1.46,2.58,5.43,,,,,,,
July,,,,,,,,,0.54,0.72,1.45,6.02,5.97,,,,,,,
August,,,,,,,,,4.01,2.72,3.81,1.96,4.36,,,,,,,
September,,,,,,,,,2.02,7.46,3.36,3.71,6.32,,,,,,,
October,,,,,,,,,5.73,5.21,11.52,3.69,5.36,,,,,,,
November,,,,,,,,,3.71,5.11,3.21,1.86,3.87,,,,,,,
December,,,,,,,,,8,4.61,3,3.46,3.42,,,,,,,
Total,,,,,,,,,38.75,44.77,40.4,34.11,53.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"James Armytage, observer, Civil engineer and Borough Surveyor lived with his family in Atherton Terrace, Fulwood in 1871",,,,,,,,,,,,,,,,,,,,
Atherton Street was near the junction of Fylde Road and Northbank Road (now Brook St.); it is assumed that one of the terraces in that street was probably Atherton Tce.,,,,,,,,,,,,,,,,,,,,
Elevation at NGR 118' but location considered reasonably precise.,,,,,,,,,,,,,,,,,,,,
