"OBAN",,,,,,,,,,,,
Grid ref,NM852294,Long,-5.483156,Lat,56.407839,,,,,,,
Station no,5413,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,6.91,,
February,,,,,,,,,,2.51,,
March,,,,,,,,,,0.69,,
April,,,,,,,,,,4.29,,
May,,,,,,,,,,3.94,,
June,,,,,,,,,,1.25,,
July,,,,,,,,,,5.60,,
August,,,,,,,,,,3.00,,
September,,,,,,,,,6.85,2.11,,
October,,,,,,,,,1.32,7.91,,
November,,,,,,,,,4.87,3.81,,
December,,,,,,,,,6.67,6.72,,
Total,,,,,,,,,,48.74,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.71,48.74,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
