"STYHEAD (A)",,,,,,,,,,,,
Grid ref,NY231106,Long,-3.188498,Lat,54.484892,,,,,,,
Station no,3626/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,15.50,15.00,16.25,14.00,15.50,9.50,22.00,18.60,11.00,21.25,,
February,16.25,6.50,10.00,8.00,3.00,4.25,9.50,17.00,8.50,16.00,,
March,14.50,10.00,3.50,16.50,6.50,6.25,13.50,4.00,10.50,6.00,,
April,10.50,10.00,9.50,5.15,9.50,3.75,6.00,6.00,13.00,13.50,,
May,3.25,9.00,5.50,7.00,10.75,12.25,7.50,11.00,2.50,6.00,,
June,5.25,10.00,6.25,17.75,13.50,5.50,6.50,7.50,7.50,8.00,,
July,18.50,10.00,26.00,18.75,6.75,16.50,16.50,10.00,16.00,17.00,,
August,16.00,22.00,13.00,16.00,5.75,21.00,14.50,11.75,3.50,6.50,,
September,22.25,13.00,33.00,25.00,12.50,9.50,16.00,12.50,4.00,10.00,,
October,2.50,12.00,10.50,36.75,12.50,16.00,23.50,20.50,21.20,8.50,,
November,28.50,6.00,30.00,30.00,6.00,7.75,7.00,4.00,24.50,24.00,,
December,27.25,12.75,11.50,21.00,19.00,24.25,22.50,11.00,28.00,17.00,,
Total,180.25,136.25,175.00,215.90,121.25,136.50,165.00,133.85,150.20,153.75,,
Calc annual,180.25,136.25,175.00,215.90,121.25,136.50,165.00,133.85,150.20,153.75,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
