BODNANT-HALL-SECOND,,,,,,,,,,,,,,,,,,,,
Grid ref,SH800725,Long,-3.799404,Lat,53.235929,Elevation,170,ft.,,,,,,,,,,,,
Station no,4322/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,5.28,6.64,4.91,2.35,6.01,6.12,7.65,2.82,1.39,3.47,5.01,1.14,2.88,3.77,3.49,4.35,4.82,6.35,6.88
February,,1.54,2.95,1.56,3.06,5.48,1.29,3.03,2.17,6.15,4.99,1.76,1.86,3.82,2.65,0.79,3.82,7.07,0.46,5.27
March,,3.03,1.28,1.1,0.9,1.46,6.54,1.77,1.52,2.34,6.27,1.51,1.71,3.63,1.82,1.84,2.19,1.26,1.99,1.71
April,,1.96,1.8,1.17,1.94,1.16,5.68,1.67,4.05,3.52,2.26,2.24,3.12,1.16,1.12,1.47,0.24,0.73,5.76,1.74
May,,4.11,3.5,1.72,2.81,2.95,3.72,1.62,1.63,0.94,3.12,2.07,2.38,3.2,3.22,0.66,2.58,4.12,1.69,0.7
June,,0.36,2.53,1.58,2.26,3.64,2.92,5.79,0.26,1.12,1.6,2.22,2.22,3.21,3.25,1.74,1.23,2.87,1.53,1.62
July,,2.54,1.92,2.28,2.09,1.65,1.24,1.87,1.02,2.23,1.28,1.58,1.84,3.3,0.49,5.19,4.49,4.6,1.79,2.42
August,,3.6,3.1,1.47,0.84,3.09,0.5,3.96,1.84,4.16,5.3,3.21,3.13,3.46,1.06,9.01,4.29,2.09,0.88,3.06
September,,2.56,5.06,4.89,2.44,4.06,3.18,2.29,0.79,6.47,3.89,4.87,5.64,4.11,2.01,2.99,6.48,6.87,0.58,4.02
October,,3.87,4.44,5.97,4.51,1.02,0.45,2.25,6.31,2.87,1.27,6.92,1.85,7.07,2.84,2.68,3.07,3.36,5.13,3.09
November,,1.28,2.69,8.3,0.62,5.91,4.64,1.77,4.38,4.9,7.37,3.31,4.25,8.95,1.9,1.66,3.14,2.42,6.2,9.78
December,,6.07,1.94,4.32,4.29,5.66,2.03,8.04,4.87,3.47,7.66,4.01,1.72,3.51,3.25,3.72,2.15,3.04,7.01,5.12
Total,,36.2,37.85,39.27,28.11,42.09,38.31,41.71,31.66,39.56,48.48,38.71,30.86,48.3,27.38,35.24,38.03,43.25,39.37,45.41
,,,,,,,,,,,,,,,,,,,,
NGR is from the1950s record and is 150m to 200m N of the Hall. Stated altitude is 30ft too low and NGR could be 100m S to match altitude and would be closer to the Hall.,,,,,,,,,,,,,,,,,,,,
