HAMMERSMITH-NEW-ROAD,,,,,,,,,,
Grid ref,TQ220792,Long,-0.24383413,Lat,51.498583,Elevation,20,ft.,,
Station no,RR7928,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,1.65,2.61,1,2.98,3.8,2.49,,2.44
February,,,0.34,0.49,0.84,2.18,3.66,1.42,,2.5
March,,,3.58,0.65,2.42,1.17,2.16,2.37,,1.53
April,,,2.62,0.58,0.76,0.22,1.73,1.82,,1.38
May,,,3.39,1.34,1.51,3.44,2.91,2.24,,3.06
June,,,2.38,4.74,2.09,0.78,3.64,1.3,,1.26
July,,,1.94,0.84,0.21,1.38,0.86,3.63,,0.53
August,,,1.93,1.69,1.22,4.46,2.82,2.42,,1.24
September,,,2.75,3.76,2.75,0.53,3.7,2.33,,4.08
October,,,3.33,1.38,1.19,5.6,2.14,1.77,,1.32
November,,,1.1,1.92,2.27,2.39,1.43,0.8,,1.82
December,,,1.63,1.23,0.43,0.76,1.77,1.4,,2.67
Total,31.41,20.11,26.64,21.23,16.69,25.89,30.62,23.99,,23.83
,,,,,,,,,,
"NGR is the middle of ""New Road"", now part of Goldhawk Road.",,,,,,,,,,
Not sure where Marlborough Cottage is. NGR +/- 500 yards,,,,,,,,,,
"1869 readings are at Bromsgrove Villa, which seems to be 250m E at corner of Askew Raod and Goldhawk Road",,,,,,,,,,
