WYKEHAM LOW MOOR,,,,,,,,
Grid ref,SE946890,Long,-0.548,Lat,54.288,Elevation,692,ft
Station no,3458/9,,,,,,,
,,,,,,,,
,1950,1951,1952,1953,1954,,,
January,1.42,2.04,3.33,1.82,,,,
February,4.28,2.35,1.33,2.93,,,,
March,1.25,3.93,2.99,0.38,2.72,,,
April,4.02,2.17,1.92,3.34,0.37,,,
May,2.91,6.30,1.86,1.82,2.29,,,
June,1.33,1.53,2.06,3.28,1.68,,,
July,2.81,2.44,2.36,2.27,2.11,,,
August,5.47,6.91,2.16,4.14,6.72,,,
September,3.48,1.57,5.83,1.57,2.43,,,
October,1.72,1.05,3.83,2.55,4.29,,,
November,6.19,6.41,5.64,2.37,6.28,,,
December,3.45,2.49,3.41,1.62,,,,
Total,38.33,39.19,36.72,28.09,,,,
,,,,,,,,
TYRain_1941-1950_22_pt1/199,,,,,,,,
TYRain_1951-1960_22_pt1/016,,,,,,,,
,,,,,,,,
"# Readings for January, February and December 1954 are estimates and have been omitted.",,,,,,,,
#,,,,,,,,
# Grid reference is an approximate location based on altitude.,,,,,,,,
# Wykeham Low Moor is now part of Wykeham Forest.,,,,,,,,
