PRESTON-SADLEIRS-END,,,,,,,,,,
Grid ref,TL180250,Long,-0.28594485,Lat,51.911043,Elevation,500,ft,,
Station no,971/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1,2.35,3.53,1.08,2.52,3.05,
February,,,,2.06,2.07,0.65,2.24,2.71,0.18,
March,,,,2.54,1.17,0.55,1.13,1.69,2.09,
April,,,,0.3,0.45,1.1,0.26,1.14,2.06,
May,,,,2.49,4.19,0.67,1.13,1.89,0.91,
June,,,,3.13,2.95,3.38,1.48,4.8,0.9,
July,,,,2.67,0.2,2.37,3.89,2.65,3.18,
August,,,1.79,3.51,1.5,4.88,2.36,2.49,1.41,
September,,,1.92,1.6,1.45,2.02,2.91,3.56,0.1,
October,,,2.9,1.82,2.85,1.85,2.68,1.95,1.76,
November,,,1.5,4.78,1.63,0.94,1.75,2.05,2.03,
December,,,0.56,2.01,1.88,3.46,2.02,2.95,,
Total,,,,27.91,22.69,25.4,22.93,30.4,,
