SOHO BIRMINGHAM,,,,,,,,,,
Grid ref,SP051890,Long,-1.9263043,Lat,52.498881,Elevation,391,ft,,
Station no,RR2904,,,,,,,,,
,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809
January,,1.9,1.01,2.1,2.97,3.26,,,,
February,,1.41,3.2,1.67,1.04,0.99,,,,
March,,4.27,0.52,0.86,2.13,1.11,,,,
April,,0.74,1.1,1.43,1.63,2.75,,,,
May,,2.08,1.86,1.46,1.61,3.86,,,,
June,,2,2.11,3.36,0.9,2.33,,,,
July,,3.66,3.52,0.44,2.82,2.02,,,,
August,,1.98,1.93,1.14,1.99,2.4,,,,
September,,4.9,0.35,1.21,0.32,1.72,,,,
October,,2.42,2.81,0.54,4.01,1.56,,,,
November,,3.18,1.8,3.81,3.11,0.59,,,,
December,,2.49,2.23,5.27,1.9,1.85,,,,
Total,,31.03,22.44,23.29,24.43,24.44,,,,
,,,,,,,,,,
Observer: James Watt,,,,,,,,,,
The observer produced his very efficient steam engline and entered a partnership with Matthew Boulton in 1795 when the construction of the Soho Foundry commenced,,,,,,,,,,
"Boulton's original Soho Manufactory pioneered the idea of mass production - buttons, buckles, medals, coins",,,,,,,,,,
NGR for original Soho Manufactory site as far as can be ascertained,,,,,,,,,,
