NORWOOD-BEULAH-HILL-SHERWOOD-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ316705,Long,-0.10884712,Lat,51.418248,Elevation,290,ft.,,,,,,,,,,,,
Station no,RR8423,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,0.93,4.82,0.92,2.35,0.41,1.33,1.13,,,,,,,
February,,,,,,,1.67,1.82,1.02,4.24,2.22,2.79,1.16,,,,,,,
March,,,,,,,2.31,2.3,1.04,0.66,0.38,1.51,0.83,,,,,,,
April,,,,,,,1.43,3.47,4.46,2.57,2.24,0.51,2.74,,,,,,,
May,,,,,,,1.06,1.62,4.3,3.62,0.51,1.08,1.01,,,,,,,
June,,,,,,,1.23,0.67,2.21,3.83,2.72,1.97,2.28,,,,,,,
July,,,,,,,0.53,2.95,1.19,3.67,3.79,1.98,2.46,,,,,,,
August,,,,,,,2.3,3.41,5.84,4.79,0.4,3.88,1.02,,,,,,,
September,,,,,,,2.21,1.14,1,3.14,4.77,2.11,2.54,,,,,,,
October,,,,,,,1.9,1.86,1.71,0.63,7.21,2.53,5.81,,,,,,,
November,,,,,,,2.47,3.73,3.92,1.22,1.9,2.32,1.74,,,,,,,
December,,,,,,,6.18,1.94,1.08,0.78,2.89,2.58,1.57,,,,,,,
Total,,,,,,,24.22,29.73,28.69,31.5,29.44,24.59,24.29,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Sherwood Lodge, stated altitude of 350 ft. is too high OS figure used.",,,,,,,,,,,,,,,,,,,,
"Gauge moved to Merle Bank in 1882, which is probably at TQ325702, about 1km ESE, altitude about 320 ft.",,,,,,,,,,,,,,,,,,,,
