NORWOOD-BEULAH-HILL-HOLMWOOD,,,,,,,,,,
Grid ref,TQ329699,Long,-0.090387615,Lat,51.412553,Elevation,350,ft.,,
Station no,106/8,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.46,1.72,2.03,1.5,4.37,4.37,2.47,4.14,
February,,0.48,2.19,0.41,2.86,1.89,4.31,1.03,1.5,
March,,2.04,2.53,2.2,0.54,1.24,3.62,0.56,1.48,
April,,2.42,0.85,2.67,2.91,1.85,2.67,0.22,,
May,,4.39,2.47,0.57,1.5,0.53,2.93,1.64,,
June,,0.95,2.2,1.24,3.83,2.88,2.06,0.48,,
July,,2.95,1.53,2.1,1.58,4.41,0.73,1.72,,
August,,1.58,0.65,2.35,2.57,0.57,1.03,2.94,,
September,,2.37,3.15,1.47,3.06,3.23,2.22,3.14,,
October,,6.34,1.79,1.6,3.73,2.53,2.88,2.5,,
November,,1.3,1,3.34,4.34,3.64,1.99,3.08,,
December,,0.62,0.48,5.21,3.63,2.58,4.74,3.32,,
Total,,27.9,20.56,25.19,32.05,29.72,33.55,23.1,,
,,,,,,,,,,
"NGR is Holmwood, 27 Beulah Hill, where the observer, Reverend A H Shaw lived.",,,,,,,,,,
"Stated altitude, 400 ft., is too high OS figure used.",,,,,,,,,,
