LEISTON-LOWER-ABBEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM459658,Long,1.599895,Lat,52.23543,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,0.49,1.17,1.32,2.12,3.08,1.76,2.87,1.48,1.87,2.07,2.98,1.81,1.67,3.88,1.32,1.79,0.88,2.25,1.2,3,1.5,2.03,1.84,0.83,0.8,1.53,2.5,3.63,4.42,1.87,4.57,2.09,2,2.78,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.83,2.52,1.17,1.27,0.56,1.67,2.83,3.5,0.7,0.94,2.4,0.59,0.26,1.73,2.49,1.29,1.59,1.58,1.69,0.7,0.49,1.25,3.2,0.53,1.74,0.43,2.44,2.54,3.25,0.9,0.92,1.31,1.83,0.82,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,2.6,0.94,1.94,2.72,2,3.79,1.21,3.63,2.35,0.73,1.83,0.7,0.89,1.34,0.98,0.47,1.29,0.33,1.95,1.73,0.09,1,0.29,1.29,1.6,2.09,0.49,0.57,2.59,0.38,2.1,3.1,2.56,2.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.45,1.78,0.92,0.34,2.19,0.69,0.93,1.72,1.93,3.06,2.83,3.04,1.45,2.48,0.7,1.93,2.29,2.84,2.13,1.44,1.17,2.03,3.43,2.64,1.25,1.98,2.11,1.27,2.57,0.56,2.97,0.99,1.27,0.68,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.24,2.87,0.92,0.72,1.36,1.55,2.33,1.29,0.48,1.01,0.49,1.09,1.03,1.11,1.06,4.36,1.95,1.3,0.42,1.84,0.96,1.93,2.85,2.43,1.71,1.96,1.66,0.5,2.27,2.27,0.81,0.06,2.3,1.81,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,2.88,1.62,2,2.45,0.7,0.76,1.23,2.33,2.44,1.03,1.36,1.59,0.62,1.68,0.55,2.05,0.6,2.48,3.43,1.47,0.5,0.79,1.62,0.41,2.37,1.27,2.38,3.18,0.84,1,1.51,0.97,0.81,0.37,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.33,2.61,0.51,2.53,2.31,2.21,4.84,0.85,2.52,4.89,2.77,2.25,0.35,2.05,1.77,2.72,1.24,1.52,1.99,2.17,2.35,3.25,3.21,3.42,1.27,1.6,1.97,4.26,1.05,2,2.57,3.54,1.95,2.3,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.78,2.13,0.46,6.03,1.51,1.6,1.35,5.67,3.68,0.79,2,1.92,1.64,1.24,1.66,2.92,1.77,1.18,4.48,1.82,1.86,3.41,2.36,2.25,1.17,1.95,1.92,1.13,2.36,0.42,1.67,0.61,3.45,1.52,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.28,1.57,1.69,2.77,1.58,0.77,1.69,0.76,1.53,3.45,0.59,3.2,2.13,2.4,1.44,2.88,2.98,0.79,2.37,0.84,0.19,5.67,1.53,1.6,4.79,1.79,4.24,3.01,2.55,2.55,1.28,0.67,0.15,2.56,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,5.04,1.09,3.08,1.54,3.47,2.12,1.74,2.26,4.09,2.59,2.38,0.48,0.89,0.85,3.33,3.88,1.78,2.15,1.46,1.73,3.1,0.68,0.9,4.34,3.01,1.97,3.09,2.93,1.94,2.69,7.8,2.26,2.48,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
