KINGSBRIDGE-THE-KNOWLE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX734446,Long,-3.7772,Lat,50.2881,Elevation,110,ft,,,,,,,,,,,,
Station no,RR1910,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,4.7,1.72,2.99,2.99,1.9,3.28,,2.74,5.76,6.31,,,
February,,,,,,,,1.66,3.43,3.2,1.59,2.2,1.01,,2,3.68,4.32,,,
March,,,,,,,,3.2,2.06,2.76,3.3,3.94,4.71,,2.88,2.02,3.56,,,
April,,,,,,,,5.39,4.24,3.64,1.55,0.94,3.42,,0.82,0.63,2.74,,,
May,,,,,,,,2.02,3.24,1.26,3.9,2.05,2.31,,1.13,3.39,2.49,,,
June,,,,,,,,1.16,1.55,0.63,8.09,3.38,2.48,4.09,1.94,0.96,1.75,,,
July,,,,,,,,1.61,3.44,1.46,1.62,4.94,2.4,0.8,0.64,2.89,,,,
August,,,,,,,,0.33,1.24,3.93,5.22,1.46,2.06,4.1,1.33,4.91,,,,
September,,,,,,,,2.47,3.37,4.64,3.07,3.13,4.6,3.76,3.52,0,,,,
October,,,,,,,,6.71,2.88,5.59,2.08,2.63,5.66,5.09,1.83,10.07,,,,
November,,,,,,,,1.69,4.24,4.59,4.11,5.61,1.43,3.29,4.15,5.02,,,,
December,,,,,,,,2.02,5.79,5.43,4.92,2.12,1.95,2.95,4.03,4.07,,,,
Total,,,,,,,,32.96,37.2,40.12,42.44,34.3,35.31,,27.01,43.4,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1863 Jan-May missing as ill,,,,,,,,,,,,,,,,,,,,
1863 Earthquake felt on 6 Oct,,,,,,,,,,,,,,,,,,,,
1863 2nd Nov tremendous gale,,,,,,,,,,,,,,,,,,,,
1863 2nd Dec violent storm of rain hail and wind blowing down some trees,,,,,,,,,,,,,,,,,,,,
1866 June removed as says to 26th,,,,,,,,,,,,,,,,,,,,
