HAWESWATER MARDALE GREEN - SECOND GAUGE,,,,,,,,,,
Grid ref,NY467117,Long,-2.8244711,Lat,54.49781,Elevation,780,ft,,
Station no,RR3140,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,0.9,9,-999,19.5,8,10,13.5,5,7.5
February,,12.5,12.5,-999,10.5,20,3,8,1,3
March,,10.5,11,5,12,11,17.5,3.5,7.5,10
April,,2.5,8.5,3,4,5.5,2,6,9.5,
May,,9,5.5,5.5,5.8,6.5,9.5,3,-999,
June,,10.5,8.5,6,1.5,3,2.5,1.05,-999,
July,,7,13.5,4.5,5,3,10.5,6.5,9.5,
August,,10.5,9,8.5,11,8.5,10.5,4.5,5,
September,,4.5,4,7.5,11.5,14.5,10.6,8,1.5,
October,,5.5,13,15,6,11.5,10.5,6,11.5,
November,,19,8.5,13,9,8,1.5,12,20,
December,,13.5,8,10.5,4,4,14,4.5,16,
Total,,105.9,111,108.5,99.8,103.5,102.1,76.55,92,
,,,,,,,,,,
1883 Jan/Feb bracketed,,,,,,,,,,
1888 May and June bracketed and noted that gauge read at irregular intervals from April to July.,,,,,,,,,,
