HOLYHEAD-SALT-ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH253833,Long,-4.6241,Lat,53.3183,Elevation,26,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,3.79,2.35,4.82,1.99,3.21,3.13,5.78,2.28,5.51,2.61,4.83,3.93,3.53,1.89,4.91,3.26,3.8,6.04,6.01,2.72,7.39,5.48,4.46,2.33,5.42,4.96,7.27,2.37,1.19,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,3.02,4.84,0.6,5.29,2.83,2.64,3.41,1.76,0.45,2.39,0.21,2.05,0.26,3.45,2.41,4.57,0.92,3.06,4.07,3.12,1.06,2.57,1.61,3.56,3.27,1.15,1.47,1.24,4.78,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.84,1.12,1.44,0.67,0.47,3.85,2.75,0.44,3.62,1.28,1.48,2.18,1.98,0.94,2.74,1.54,1.45,2.58,2.05,2.41,3.1,1.1,0.54,1.1,1.61,5.83,2.31,2.59,2.46,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,2.28,2.58,2.81,1.7,1.58,0.77,0.77,0.96,2.03,1.85,1.79,0.9,1.24,2.31,1.36,1.93,0.21,1.9,2.56,1.56,1.2,1.07,1.72,2.14,0.83,3.54,1.12,1.81,2.39,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,0.89,1.23,4.76,3.72,2.12,1.06,1.28,2.52,1.2,3.39,2.53,1.49,3.93,1.45,1.22,0.75,2.48,0.66,1.53,2.74,3.19,3.23,2.2,2.61,1.62,3.17,1.25,1.72,0.72,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,1.3,0.7,2.83,0.05,1.33,3.56,3.99,1.3,1.52,4.1,1.4,1.39,1.57,3.36,4.99,2.35,4.07,1.62,0.76,0.77,0.12,2.16,1.8,3.5,2.09,2.84,2.78,0.49,1.09,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,3.56,2.94,3.63,2.21,2.47,1.56,1.7,2.24,2.53,1.71,3.6,1.42,0.44,0.35,3.67,2.18,4.11,4.7,2.45,1.6,1.87,2,3.78,2.73,2.49,2.38,2.47,1.86,2.06,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,3.54,4.47,3.13,2.68,3.05,5.74,2.92,2.91,4.71,2.74,1.52,1.44,2.91,1.84,2.1,1.61,2.05,2,0.56,2.52,3.31,3.71,2.36,0.6,4.38,0.43,3.08,2.65,4.49,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,3.56,3.96,6.2,3.59,1.56,3.2,1.46,1.54,3.1,3.08,2.69,0.94,3.81,6.06,3.49,2.99,1.94,1.23,2.41,1.77,3.12,2.82,4.36,2.4,3.74,3.31,3.24,2.18,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,1.34,4.62,3.28,3.87,3.25,2.82,5.79,6.1,5.98,1.97,5.24,3.48,4.89,4.79,2,6.4,6.62,3.48,4.14,4.13,3.98,4.45,4.38,2.82,1.02,0.39,2.07,5.72,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,1.48,4.74,3.03,2.73,6.61,5.9,5.89,6.48,4.61,6.14,3.5,1.81,2.76,5.88,3.44,1.85,5.96,3.9,6.05,3.7,0.85,2.48,5.88,0.5,6.53,3.66,2.55,4.5,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,3.87,3.32,4.83,3.11,0.73,2.56,3.83,6.15,4.95,2.27,4.34,2.33,9.57,3.43,5.63,4.01,4.35,2.47,2.81,1.4,6.29,2.47,3.07,4.69,4.02,2.01,3.93,3.09,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,30.47,36.87,41.36,31.61,29.21,36.79,39.57,34.68,40.21,33.53,33.13,23.36,36.89,35.75,37.96,33.44,37.96,33.64,35.4,28.44,35.48,33.54,36.16,28.98,37.02,33.67,33.54,30.22,37.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4408 Continuation at New Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
