LLYN-Y-FAN-FACH-AFON-SYCHLWCH,,,,,,,,,,,
Grid ref,SN807223,Long,-3.7348226,Lat,51.886453,Elevation,1571,ft.,,,
Station no,,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,18.39,,7.33,10.59,,,,,,
February,,0,12.23,16.66,1.26,,,,,,
March,,13.98,9.46,3.23,4.69,,,,,,
April,,1.49,5.4,6.32,7.98,,,,,,
May,,4.1,2.65,4.16,8.34,,,,,,
June,,0.27,3.7,2.32,5.3,,,,,,
July,,6.47,10.52,5.68,9.42,,,,,,
August,,9.31,6.79,8.33,12,,,,,,
September,,2.96,5.63,7.59,13.71,,,,,,
October,,3.88,4.58,16.04,12.46,,,,,,
November,,4.91,4.59,9.21,5.52,,,,,,
December,,6.86,14.85,9.77,22.77,,,,,,
Total,,72.62,,96.64,114.04,,,,,,
,,,,,,,,,,,
NGR is Near Afon Sychlwch at the correct altitude as described on the record. NGR could be +/- 250m. Gauge moved to Troed-y-foel at beginning of 1925,,,,,,,,,,,
