"ROTHBURY, BRINCKBURN PRIORY 8"" GAUGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ116983,Long,-1.818944,Lat,55.278704,Elevation,257,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3588/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,1.12,2.49,3.06,10.89,2.28,2.45,2.2,1.32,3,2.28,2.12,3.33,0.93,4.72,3.71,1.47,0.46,1.75,1.26,2.79,4.02,1.97,5.12,1.4,0.75,0.92,1.82,0.73,1.65,0.75,,4.22,1.31,2,0.71,,5.33,,2.45,4.6,3.87,,2.9,,1.65,1.65,3.03,3.9,3.36,6.09,3.03,2.61,2.56,3.02,3.62,3.34,,,,,,,,,,,,,,,,2.5,,,,,
February,,,,,2.42,2.19,2.84,1.18,2.76,1.91,3.57,3.03,3.52,1.78,1.77,2.67,3.48,1.8,1.27,4.16,2.19,3.94,1.4,1.84,1.79,1.1,1.22,0.59,1.51,0.67,1.82,0,1.8,1.52,,3.27,1.14,1.16,1.1,,5.36,,0.78,2.89,3.03,1.28,1.76,,2.09,1.37,3.31,1.24,3.46,1.55,2.02,3.98,3.37,1.01,1.78,2.15,,,,,,,,,,,,,,,,2.11,,,,,
March,,,,,3.41,1.3,3.8,2.81,1.31,2.73,1.41,0.91,4.02,2.98,1.61,1.21,3.14,5.11,0.85,1.26,2.18,4.28,2.07,2.51,2.02,2.12,3.68,1.63,4.47,3.32,2.56,3.56,0.74,0.35,,2.59,2.78,3.85,1.83,,1.2,,1.56,1.89,1.75,2.71,1.7,,4,5.55,0.94,3.26,2.7,4.06,2.96,1.75,4.5,2.01,1.19,2.12,,,,,,,,,,,,,,,,1.3,,,,,
April,,,,,0.95,0.83,3.06,1.79,3.77,1.41,0.88,4.45,3.27,1.27,1.79,0.94,5.41,6,2.29,3.19,1.6,1.22,3.84,1.39,2.28,2.46,1.58,1.25,1.36,4.38,0.66,1.8,0.38,0.05,,0.55,0.89,-999,2.76,,2.62,,1.51,1.65,2.33,2.24,2.01,,2.72,3.86,2.29,2.22,0.24,2.42,0.73,0.95,1.46,2.01,1.47,1.69,,,,,,,,,,,,2.46,,,,3.8,,,,,
May,,,,,2.15,3.61,1.53,2.35,0.48,2.45,1.75,1.01,2.17,2.28,2.32,1.98,1.04,3.79,2.75,2.58,2.46,2.12,2.74,1.53,1.88,4.84,2.86,1.96,0.62,1.02,2.07,2.4,2.16,0.79,,0.46,1.13,-999,1.42,,0.67,,4.18,1.9,1.56,1.65,4.88,,2.24,1.35,1.65,1.14,2.11,2.66,1.68,1.49,2.91,1.77,2.91,0.68,,,,,,,,,,,,2.31,,,,2,,,,,
June,,,,,1.78,0.41,1.47,1.35,0.55,0.15,1.66,2.86,2.54,1.3,2.16,2.04,2.66,1.45,2.5,4.3,1.21,2.25,3.69,2.51,0.64,0.84,1.35,0,3.68,0.24,3.54,0.32,3.94,1.63,,2.11,1.9,-999,-999,,5.67,,2.85,1.98,1.91,0.78,1.83,,0.31,2.67,2.03,6,5.74,1.95,2.93,1.62,2.67,1.33,1.2,1,,,,,,,,,,,0.91,2.7,,,,,,,,,
July,,,,,0.35,2.86,4.46,4.48,0.46,0.79,0.68,3.25,3.43,2.46,1.69,2,1.27,3.29,0.52,4.88,4.47,3.14,3.12,4.6,2.75,1.69,3.62,2.13,5.11,3.52,1.72,2.96,1.54,2.42,,4.98,3.08,1.75,-999,,1.38,,2.87,4.88,1.08,0.63,1.57,,1.9,2.27,3.4,0.54,3.15,0.82,2.05,2.56,3.35,1.27,2.98,0.56,,,,,,,,,,,2.83,3.02,,,,0.1,,,,,
August,,,,,1.21,3.12,3.1,1.67,4.28,1.34,1.84,0.29,3.63,3.96,3.71,1.88,1.45,7.98,4,4.34,0.98,5.24,2.52,2.68,0.77,1.96,1.21,1.87,3.47,3.47,7.23,5.18,4.51,1.97,,4.06,2.19,4.8,1.13,,4.98,,3.25,3.12,2.41,2.72,3.65,,0.82,2.09,1.91,2.06,7.33,1.9,3.15,2.82,3.25,5.69,2.02,2.45,,,,,,,,,,,4.46,2.75,,,,2.78,,,,,
September,,,,,2.03,0.23,4.27,2.33,3.6,3.61,1.26,4.69,5.61,1.87,2.51,3.19,4.45,1.96,2.3,1.06,3.25,5.29,1.68,4.09,2.26,2.96,2.08,4.6,0.93,1.93,1.58,3.11,2.19,2.11,,1.02,3.53,1.53,1.63,,1.56,,1.13,1.53,1.11,3.34,-999,,3.38,5.86,1.83,2.45,2.78,2.12,0.9,1.96,1.59,1.52,4.49,1.05,,,,,,,,,,,3.05,2,,,,3.8,,,,,
October,,,,,7.94,10.11,1.18,1.64,2.01,2.67,4.81,4.58,6.19,2.66,1.95,5.37,1.93,4.32,2.43,0.69,4.31,5.52,4.32,2.19,1.99,4.71,4.74,2.13,0.77,5.41,2.03,3.62,4.38,0.83,,6.9,9.03,1,6.61,,4.59,,2.29,6.99,,4.25,-999,,2.97,3.59,2.92,3.68,4.04,1.41,2.36,1.94,3.65,3.07,2.55,4.99,,,,,,,,,,,1.97,1.01,,,,3.8,,,,,
November,,,,,2.6,3.2,2.37,0.37,2.82,1.86,3.76,2.93,5.38,2.15,3.65,6.22,4.71,3.66,7.15,4.19,3.42,3.37,3.66,1.65,1.73,2.31,4.44,4.28,5.97,0.53,4.57,3.1,1.11,1.76,,2.69,1.1,2.58,3.43,,3.92,,2.28,2.96,3.14,5.84,3.55,,0.44,1.18,4.43,5.39,2.75,0.48,4.32,2.56,4.41,1.46,1.23,4.39,,,,,,,,,,,2.74,4.71,,,,5.5,,,,,
December,,,,,3.58,2.1,2.73,2.82,5.37,3.87,5.54,1.9,6.16,0.74,4.49,2.25,11.07,1.93,4.43,1.28,3.26,3.85,5.84,1.79,2.46,1.16,4.3,3.45,1.69,1.17,2.83,3.19,0.97,0.46,,1.88,3.29,2.31,3.04,,1.23,,5.61,3.22,3.2,0.76,3.15,,1.71,3.58,3.04,3.51,2.51,3.74,6.26,6.78,4.35,2.69,2.96,3.35,,,,,,,,,,,1.96,0.97,,,,2.4,,,,,
