BUTTERLEY-MOSS,,,,,,,,,,,,,,,,,,,,
Grid ref,SE091010,Long,-1.8642675,Lat,53.505613,Elevation,1400,ft.,,,,,,,,,,,,
Station no,RR1357,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,3.7,1.6,,2.8,4.3,,,,,,,,
February,,,,,,,,4.3,10.1,,2.8,2.6,,,,,,,,
March,,,,,,,,1.4,4.9,,0.7,2.9,,,,,,,,
April,,,,,,,,9,2.9,,3,1.9,,,,,,,,
May,,,,,,,,4.8,1,,1.2,3.2,,,,,,,,
June,,,,,,,,3.4,6.2,,2.3,6,,,,,,,,
July,,,,,,,,1.1,2.4,,4.1,4.7,,,,,,,,
August,,,,,,,,6.5,5.8,,3,3.4,,,,,,,,
September,,,,,,,,8.2,3.4,,1.2,2.5,,,,,,,,
October,,,,,,,,5.4,7.5,,4,5.3,,,,,,,,
November,,,,,,,3,8.3,2.3,,3,1.6,,,,,,,,
December,,,,,,,3,6,3.7,,3.4,1.4,,,,,,,,
Total,,,,,,,,62.1,51.8,,31.5,39.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Butterley Moss. Stated altitude of 1750ft.  is too high a point noted on one of the records. Stated altitude is from OS map but could be +/- 100ft. and NGR is +/- 300m,,,,,,,,,,,,,,,,,,,,
