WYE-PANTMAWR,,,,,,,,,,,,,,,,,,,,
Grid ref,SN846824,Long,-3.6986267,Lat,52.427366,Elevation,1080,ft.,,,,,,,,,,,,
Station no,RR2671,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,6.5,2.5,2.2,6.3,10.2,8.1,7.3,5.2,10.6,7.3,,,,,
February,,,,,,0.5,1.5,5.8,6.4,4.1,4.1,2.5,1.7,7.4,9,,,,,
March,,,,,,4.2,6.2,6.8,2.2,3.1,1.2,7.5,4.4,9.3,2.9,,,,,
April,,,,,,2.7,1.3,5.5,4.3,8.7,3.9,5.1,2.4,3.7,6.5,,,,,
May,,,,,,0.9,0.6,3,6.5,5.1,3.2,1,5.9,5.4,3.3,,,,,
June,,,,,,3.2,2,4,7.2,2.7,5.1,4.7,2.6,3.4,2.6,,,,,
July,,,,,,5.4,2.9,3.7,2.9,5.3,2.7,3.9,3.3,4.8,2.9,,,,,
August,,,,,,5.25,5,6.1,9.6,1.9,8.3,7.4,5.6,10.1,6.6,,,,,
September,,,,,,1.4,12.15,7.6,2.6,9.3,3.9,5,3.1,8.1,3.2,,,,,
October,,,,,5.2,6.5,8.2,2.3,8.7,3.9,9.4,6.8,6.7,18.6,5.6,,,,,
November,,,,,4.5,3.4,4.4,7.2,5.5,2.6,8.7,7.5,5.4,8.5,6.3,,,,,
December,,,,,4.2,7.2,8.75,7.1,8.6,3.3,10,8.6,7.2,6.2,5.5,,,,,
Total,,,,,,47.15,55.5,61.3,70.8,60.2,68.6,67.3,53.5,96.1,61.7,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is Pant Mawr on River Wye. Stated altitude suggests gauge might be 100m to 200m or so NW .,,,,,,,,,,,,,,,,,,,,
