"DERWENT DALE (SANDY LEE)",,,,,,,,,,,,
Grid ref,SK180953,Long,-1.730407,Lat,53.454153,,,,,,,
Station no,3110,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.18,6.96,2.57,5.30,4.30,8.75,5.16,6.93,6.33,8.46,,
February,6.31,3.19,3.00,4.22,4.20,2.80,4.52,8.90,0.64,4.20,,
March,7.59,3.07,3.10,3.08,4.35,2.93,4.97,3.83,2.55,2.05,,
April,3.05,3.45,4.41,0.78,1.90,3.25,0.55,1.78,5.70,3.38,,
May,5.09,3.45,3.05,5.15,4.90,1.57,1.80,4.30,1.82,2.22,,
June,1.45,2.85,3.25,2.87,3.97,4.27,1.66,5.98,2.25,1.90,,
July,3.30,2.60,5.95,5.50,1.10,9.34,4.80,5.92,5.00,6.90,,
August,5.85,3.57,5.25,6.60,0.75,10.76,7.84,3.40,0.95,4.52,,
September,3.72,7.59,2.60,6.05,1.70,5.58,8.82,4.80,0.13,5.94,,
October,0.95,8.15,2.60,7.95,4.80,3.67,6.33,4.47,5.39,7.48,,
November,12.23,4.40,3.70,9.00,2.95,3.70,3.63,1.22,6.89,8.84,,
December,9.98,5.40,2.50,10.05,7.50,6.43,7.00,6.22,8.20,7.74,,
Total,65.70,54.68,41.98,66.55,42.42,63.05,57.08,57.75,45.85,63.63,,
Calc annual,65.70,54.68,41.98,66.55,42.42,63.05,57.08,57.75,45.85,63.63,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
