SAFFRON WALDEN AUDLEY END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL525381,Long,0.221062,Lat,52.020366,Elevation,155,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.38,2.45,2.54,1.06,0.77,3.04,2.59,1.21,2.24,1.77,3.62,1.7,2.14,,,,,,,,,,,,,,,1.94,2.22,0.83,1.74,0.83,2.35,2.89,0.48,0.54,2,1.99,1.07,3.26,1.01,0.99,0.92,1.41,1.42,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.31,1.39,2.15,0.82,1.48,0.95,1.78,0.96,0.87,2.27,2.28,1.14,3.32,,,,,,,,,,,,,,,1.15,0.34,0.37,2.53,0.79,1.48,3.42,1.06,1.07,0.46,3.08,1.19,2.23,1.27,1.16,0.47,2.48,0.87,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.97,1.66,1.79,1.74,1.44,2.83,1.5,0.73,0.57,2.83,2.16,1.35,0.91,,,,,,,,,,,,,,,1.07,1.91,3.42,3.21,1.55,0.96,0.78,2.24,1.09,2.3,1.36,2.44,1.75,0.89,2.4,3.38,0.74,2.2,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,2.05,1.46,1.57,0.46,2.11,2.24,0.87,1.17,1.09,2.72,2.2,1.68,2.73,,,,,,,,,,,,,,,1.21,1.27,0.85,2.17,1.52,2.65,0.73,2.09,0.64,1.75,0.74,1.81,0.81,3.16,2.95,1.68,1.81,0.81,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,2.61,0.63,4.15,0.73,0.54,2.14,1.63,1.23,1.8,0.51,1.86,3.58,2.86,,,,,,,,,,,,,,,2.01,0.88,0.28,1.47,3.16,1.85,1.48,3.03,3.23,3.57,1.57,0.92,1.08,3.39,1.01,1.26,2.91,1,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,0.89,0.61,0.88,0.86,2.48,4.01,3.24,1.38,2.9,1.45,1.34,1.66,3.86,,,,,,,,,,,,,,,1.69,0.7,2.59,2.26,2.76,0.84,2.95,1.42,2.35,5.17,1.22,3.49,3.26,1.78,1.66,4.14,1.25,2.47,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,3.05,0.19,0.74,1.21,3.19,5.54,2.37,1.35,4.94,1.11,2.91,0.48,3.76,,,,,,,,,,,,,,,2.42,4.1,0.91,0.9,1.11,3.63,0.88,0.98,1.15,4.36,2.28,1.16,0.96,2.05,2.97,3.16,1.83,0.37,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,1.97,2.26,1.68,1.58,0.4,1.48,2.17,1.18,1.02,1.48,3.69,3.84,3.33,,,,,,,,,,,,,,,2.39,3.44,2.12,2.29,1.29,1.37,2.94,1.82,3.28,3.27,2.42,2.32,0.96,2.17,2.32,2.93,2.04,0.28,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.79,1.41,3.17,1.41,4.51,1.17,2.12,2.15,3.04,4.24,1.13,0.97,3.14,,,,,,,,,,,,,,,1.14,0.84,6.77,2.99,0.2,3.02,0.57,1.76,0.75,3.2,1.41,1.13,1.14,0.58,1.91,2.55,1.04,1.07,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,2.88,2.29,1.41,3,0.77,3.82,2.54,2.74,3.15,1.01,1,2.41,0.69,,,,,,,,,,,,,,,2.62,2.01,3.57,0.71,2.72,2.2,1.81,2.21,1.18,5.41,1.01,1.42,3.5,2.39,1.39,4.17,1.7,2.97,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
