NEWTON-ABBOT-SEALE-HAYNE-(COLLEGE),,,,,,,,,,
Grid ref,SX827730,Long,-3.6561,Lat,50.5452,Elevation,339,ft,,
Station no,1721,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,3.63,1.45,1.32,4.24,
February,,,,,,7.35,6.67,0.86,1.74,
March,,,,,,0.9,4.13,3.93,1.44,
April,,,,,1.53,0.56,0.56,1.13,2.48,
May,,,,,1.77,3.29,1.7,2.12,1.17,
June,,,,,1.08,1.77,1.38,3.24,0.94,
July,,,,,3.46,2.93,1.07,2.01,4.18,
August,,,,,2.68,2.16,4.11,4.91,2.37,
September,,,,,2.31,0.89,3.12,1.68,,
October,,,,,2.9,5.22,6.78,4.58,,
November,,,,,5.99,2.47,5.22,1.59,,
December,,,,,9.55,10.07,3.74,1.19,,
Total,,,,,,41.24,39.93,28.56,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1914 Gauge not read on Sundays,,,,,,,,,,
1914-1915 Daily values from bound volume,,,,,,,,,,
1918 Gauge marked as terminated,,,,,,,,,,
