Rainfall at,SANDAY (START POINT)
,
Station no,5828,
,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,3.76,4.17,2.81,2.72,3.99,3.88,7.92,5.63,4.02,1.10,
February,4.99,0.62,3.23,2.69,4.50,2.42,4.31,2.14,5.16,1.71,
March,1.03,3.40,1.67,2.46,5.02,1.64,3.03,3.42,3.18,3.55,
April,2.27,4.52,1.59,4.13,2.05,1.19,0.87,1.42,1.58,2.38,
May,1.43,1.33,0.67,2.29,0.70,0.75,0.44,2.52,0.24,1.07,
June,2.14,0.88,1.12,1.29,1.09,0.63,3.60,4.13,1.26,0.90,
July,3.35,2.16,1.01,2.82,2.85,4.74,1.73,2.17,3.52,3.61,
August,0.30,2.68,2.21,3.27,3.83,2.16,1.70,2.33,1.55,3.00,
September,0.93,4.11,1.98,3.39,4.17,3.25,3.14,1.78,1.19,4.81,
October,4.31,3.46,2.58,5.83,7.04,4.21,2.68,6.26,1.05,2.07,
November,2.91,3.43,2.44,3.24,5.15,3.19,1.89,5.38,5.52,3.33,
December,5.44,2.12,2.53,4.88,4.91,3.10,2.86,4.32,3.42,3.32,
Total,32.86,32.88,23.84,39.01,45.30,31.16,34.17,41.50,31.69,30.85,
Calc annual,32.86,32.88,23.84,39.01,45.30,31.16,34.17,41.50,31.69,30.85,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,
