ABERGWESYN-LLANERCHYRFA,,,,,,,,,,,,,,,,,,,,
Grid ref,SN836560,Long,-3.7041885,Lat,52.189918,Elevation,1430,ft.,,,,,,,,,,,,
Station no,4209,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,5.3,3.95,2.28,4.24,10.5,7.23,5.53,3.6,7.9,8.2,4.3,9.8,3.4,4.23,5
February,,,,,,0.27,3.7,6.22,5.73,7.2,4.72,3.25,2.95,5.4,7,4.1,5.98,4.1,4.2,1.23
March,,,,,,7.75,8.9,6.93,1.85,2.95,1.58,5.25,3.8,11,3,7.9,4.92,3.2,4.92,4.62
April,,,,,,3.95,1.7,5.2,4.3,7.63,3.02,5.2,2.8,3.3,4.4,8,2,4.5,3.58,5.53
May,,,,,,0.65,0.25,2.4,5.27,4.97,4.28,1.75,4.45,4.9,4.4,1,6,4.2,3.4,
June,,,,,,1,3.5,3.12,5.08,2.2,4.72,4.05,2.9,3.8,2.2,3.2,3.2,6.63,1.7,
July,,,,,,6.25,2.95,3.2,1.1,3.78,3.33,2.6,3.1,5.6,3.4,3.4,2.5,4.8,6.37,
August,,,,,,6.03,4.45,6.98,6.97,2.47,7.82,5.2,5.3,9,5.1,7.8,5.7,6,11,
September,,,,,,1.35,11.55,7.25,2.43,6.23,3,3.25,3.6,7.4,3.8,3.6,1.8,1.1,5.6,
October,,,,,7.9,7.05,7.55,2.67,7.87,6.15,9.5,5.6,5.3,16.6,4.8,4.5,10.7,10.1,2.9,
November,,,,,9.55,8.96,2.8,6.4,5.53,5.17,7.23,5.7,5.35,7.7,5.25,7.4,5.7,5.5,5.6,
December,,,,,7.7,5.55,11.45,11.63,8.62,3.9,10.1,7.2,6.2,6.3,6.3,2.5,5.9,8.72,6.43,
Total,,,,,,54.11,62.75,64.28,58.99,63.15,66.53,54.58,49.35,88.9,57.85,57.7,64.2,62.25,59.93,
,,,,,,,,,,,,,,,,,,,,
"NGR is above building called Llanerchyrfa at the stated altitude. NGR could be up to 500m E.Gauge moved to Trallwn in May 1009, a move of 4.5km ESE but station number unchanged",,,,,,,,,,,,,,,,,,,,
