HINDHEAD-RIDGEWAYS,,,,,,,,,,,
Grid ref,SU885359,Long,-0.73702026,Lat,51.115567,Elevation,815,ft.,,,
Station no,170,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,3.06,3.87,5.76,,,,
February,,,,,0.73,4.96,2.58,,,,
March,,,,,1.72,0.81,0.33,,,,
April,,,,,3.68,2.67,3.77,,,,
May,,,,,4.93,5.01,2,,,,
June,,,,,3.44,0.03,2.8,,,,
July,,,,,4.48,3.97,1.94,,,,
August,,,,,2.84,4.34,1.51,,,,
September,,,,,5.71,3.11,0.77,,,,
October,,,,,4.47,3.99,2.74,,,,
November,,,,,3.37,3.05,7.09,,,,
December,,,,,5.22,4.22,0.27,,,,
Total,,,,,43.65,40.03,31.56,,,,
,,,,,,,,,,,
NGR is Ridgeways. Altitudes match. Gauge moved 800 yards NW on 1 Jan 1927.,,,,,,,,,,,
