USK-LLANDEILOR-FAN-ONE-MILE-SOUTH,,,,,,,,,,
Grid ref,SN883343,Long,-3.628,Lat,51.996,Elevation,1320,ft.,,
Station no,RR7989,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,3.2,5.1,,,,,,
February,,,1.5,3.8,,,,,,
March,,,3.1,4.5,,,,,,
April,,,2.3,1.7,,,,,,
May,,,3.4,1.9,,,,,,
June,,,2.6,1.1,,,,,,
July,,,1.9,1.9,2.3,,,,,
August,,,2.6,3.1,,,,,,
September,,,2.8,2.6,2.3,,,,,
October,,3.9,4.2,9.2,3.4,,,,,
November,,1.3,3.6,3.9,3.6,,,,,
December,,6.6,4.6,1.7,4.5,,,,,
Total,,,35.8,40.5,,,,,,
,,,,,,,,,,
NGR is approximately 1 mile S of previous position on open moor as described and assumed to be same altitude,,,,,,,,,,
NGR could be +/- 500m,,,,,,,,,,
Note on record queries reliability of 1903 readings,,,,,,,,,,
