"RENTON CARMAN RESERVOIR",,,,,,,,,,,,
Grid ref,NS383788,Long,-4.592834,Lat,55.974873,,,,,,,
Station no,5325,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,3.83,4.70,7.86,5.22,3.80,6.76,3.92,5.27,6.38,,
February,,1.77,1.69,8.92,3.92,4.34,3.78,3.76,3.24,3.55,,
March,,2.13,3.80,10.27,1.83,3.92,4.25,5.63,4.26,2.12,,
April,,3.09,1.40,1.63,5.87,3.33,1.40,2.28,1.27,4.97,,
May,,2.32,2.82,2.96,3.43,2.11,4.55,4.67,2.70,3.01,,
June,,3.36,2.36,2.35,2.50,0.99,1.90,4.83,2.72,3.55,,
July,,2.14,3.24,5.53,2.77,3.82,3.59,2.49,4.41,3.86,,
August,,4.34,3.15,6.44,4.86,5.40,6.53,5.56,4.30,3.41,,
September,,3.46,4.42,4.58,4.94,2.45,2.41,1.74,7.26,2.26,,
October,,5.14,3.30,10.66,3.19,3.58,6.31,6.65,1.31,6.61,,
November,,5.09,4.07,4.83,3.21,5.48,4.62,3.78,3.62,2.47,,
December,,4.92,5.85,3.41,4.35,4.33,4.61,6.94,4.31,5.58,,
Total,,41.59,40.80,69.44,46.09,43.55,50.71,52.25,44.67,47.77,,
Calc annual,0.00,41.59,40.80,69.44,46.09,43.55,50.71,52.25,44.67,47.77,,
Difference,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
