LEEK-LOWER-HADDON,,,,,,,,,,
Grid ref,SJ976606,Long,-2.0373338,Lat,53.142542,Elevation,875,ft.,,
Station no,2374,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.6,3.85,3,6
February,,,,,,,2.75,6.85,0.9,2.55
March,,,,,,,4.25,1.85,2.25,1.3
April,,,,,,,0.5,1.6,3.4,1.8
May,,,,,,,1.66,3.7,1.2,2.1
June,,,,,,,2.7,6.35,1.9,2.35
July,,,,,,5.5,5.95,5.15,2.25,5.45
August,,,,,,10.25,6.1,3.95,0.55,5.3
September,,,,,,3.05,7.5,5.65,0.3,4.7
October,,,,,,3.05,3.75,4.2,3.25,5.1
November,,,,,,2,1.95,2,4.5,5.95
December,,,,,,4.1,3.75,3.85,5.95,4.6
Total,,,,,,,43.46,49,29.45,47.2
,,,,,,,,,,
NGR is from the 1950s record and is Lower Haddon. Altitudes match.,,,,,,,,,,
"MIDAS src_id 3182 ends 1983 but places gauge 140m SE, did gauge move?",,,,,,,,,,
