KINGS LANGLEY (RUCKLER'S LANE),,,,,,,,,,,,
Grid ref,TL070035,Long,-0.452428,Lat,51.720027,,,,,,,
Station no,918/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.20,1.61,,,,,,,,,,
February,5.72,0.61,,,,,,,,,,
March,3.74,,,,,,,,,,,
April,3.07,,,,,,,,,,,
May,2.09,,,,,,,,,,,
June,1.69,,,,,,,,,,,
July,1.46,,,,,,,,,,,
August,3.89,,,,,,,,,,,
September,3.42,,,,,,,,,,,
October,1.00,,,,,,,,,,,
November,5.81,,,,,,,,,,,
December,1.85,,,,,,,,,,,
Total,36.94,,,,,,,,,,,
Calc annual,36.94,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
