EDGEWORTHSTOWN - observer Mrs Butler,,,,,,,,,,
Grid ref,IN2582571934,Long,-7.6097,Lat,53.6966,Elevation,322,ft,,
Station no,RR1859,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,5,3.03,,,,,
February,,,,2.31,2.02,,,,,
March,,,,3.01,3.3,,,,,
April,,,,2.1,3.05,,,,,
May,,,,5.04,3.3,,,,,
June,,,,3.34,4.29,,,,,
July,,,,0.21,2.04,,,,,
August,,,0.23,6.02,4.31,,,,,
September,,,2.24,5.21,7.33,,,,,
October,,,6.17,6.15,4.32,,,,,
November,,,3.14,6,5.09,,,,,
December,,,6.3,4.03,3.35,,,,,
Total,,,,48.42,45.43,,,,,
,,,,,,,,,,
No evidence for more precise location and elevation is ?33' - latter is doubtful as Edgeworthstown is around 300',,,,,,,,,,
NGR for centre of modern village as best guess,,,,,,,,,,
