CHRISTOW-SMITHACOTT-(VALLEY),,,,,,,,,,
Grid ref,SX798848,Long,-3.70161,Lat,50.650445,Elevation,850,ft,50.6517 ,-3.69909 
Station no,1749,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.06,5.68,7.54,5.65
February,,,,,,,8.03,6.15,0.4,8.12
March,,,,,,,4.83,3.21,6.24,4.74
April,,,,,,,0.37,0.78,4.68,4.56
May,,,,,,,2.7,4.15,1.68,2.74
June,,,,,,,2.21,4.7,1.26,1.62
July,,,,,,,4.25,4.2,2.25,4.69
August,,,,,,,3.38,4.96,3.46,4.07
September,,,,,,,3.54,5.39,0.28,8.32
October,,,,,,,2.42,3.8,4.9,13.95
November,,,,,,,3.43,2.51,11.06,7.34
December,,,,,,,4.25,5.74,10.34,5.68
Total,,,,,,,44.47,51.27,54.09,71.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1956 Dec 14th Site changed and trees removed,,,,,,,,,,
1956 Low but accepted,,,,,,,,,,
