POOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ027915,Long,-1.963115,Lat,50.723118,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.47,3.89,2.27,2.63,2.51,2.63,0.92,5.33,5.88,3.54,6.05,3.96,4.78,3.97,7.53,2.18,1.84,3.8,,5.68,0.68,0.67,3.28,2.1,0.92,2.04,3.46,4.78,2.73,4.29,3.7,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.25,0.72,1.75,0.08,4.29,0.03,3.37,3.07,6.01,0.77,1.66,4.18,3.47,0.31,0.99,0.39,1.81,3,,0.99,1.33,5.69,6.4,0.66,1.27,3.13,1.92,0.14,4.27,3.02,0.3,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.09,1.04,1.19,1.78,3.48,2.96,1.03,3.26,3.77,0.24,1.13,3.13,3.69,2.76,0.97,0.38,0.77,1.2,,0.99,1.39,1.31,3.84,2.56,0.52,4.31,1.25,0.99,2.57,1.69,3.43,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,0.86,1.91,1.94,2.73,1.16,1.74,3.56,1.56,2.2,0,1.93,1.24,1.8,2.02,0.73,1.88,0.85,2.57,,1.78,1.72,2.45,3.32,1.65,2.26,0.11,0.55,2.18,0.16,0.58,2.57,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.93,2.06,3.22,3.25,1.42,0.85,0.78,0.65,2.98,1.49,0.98,1.23,2.24,3.78,2.29,0.42,2.31,,,2.07,1.66,1.82,2.36,2.34,2.39,2.63,4.01,0.53,1.79,2.27,1.24,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.42,0.38,2.58,2.34,1.05,1.36,3.72,2.26,0.45,0.8,1.96,0.18,1.35,0.44,0.95,1.79,2.26,,,2.17,0.43,1,0.35,0.85,2.14,2.64,2.58,2.1,1.59,4.16,1.73,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,0.97,1.44,4.76,3.32,1.62,0.28,0.33,4.05,1.7,2.18,3.95,3.46,2.14,1.65,2.21,2.44,0.97,,,1.09,0.39,4.32,1.13,0.7,2.66,3.27,0.44,4.35,2.42,1.79,1.83,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.15,3.03,3.02,0.58,1.06,3.48,2.87,0.26,2.58,1.89,2.96,0.02,3.71,2.98,1.62,2.53,2.62,,,3.34,1.28,2.16,4.63,3.6,1.7,2.8,1.07,3.27,2.69,3.21,2.43,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,0.48,3.26,1.69,3.69,2.29,2.2,3.96,2.95,2.36,2.1,2.84,1.63,0.8,3.01,2.06,2.1,2.12,,,2.69,4.26,3.15,3.83,4.47,2.77,3.51,1.21,4.94,2.77,4.62,0.22,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,4.38,1.92,0.55,5.92,1.42,1.29,6.29,1.55,5.98,3.51,6.25,4.74,0.89,3.64,4.79,4.94,3.34,,,1.83,7.23,0.9,1.22,4.85,3.59,2.78,5.17,1.59,2.51,3.24,2.93,9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,8.54,5.49,4.25,2.09,1.07,2.24,7.65,3.37,1.46,5.38,6.02,8.29,1.92,1.28,1.88,6.82,0.93,,,1.59,4.18,5.91,9.42,3.95,1.77,5.86,2.83,0.96,2.15,2.71,3.95,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,7.4,3.93,1.05,1.16,1.12,8.83,5,3.84,4.23,3.95,1.78,2.87,2.63,3.82,3.26,2.58,4.94,,,5.14,1.67,2.04,3.17,2.86,0.8,3.03,5.46,5.96,2.26,4.49,8.18,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
