MONKMOOR-SEWAGE-WORKS,,,,,,,,,,
Grid ref,SJ517135,Long,-2.7164647,Lat,52.716987,Elevation,172,ft.,,
Station no,2289/9/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.65
February,,,,,,,,,,2.06
March,,,,,,,,,,1.44
April,,,,,,,,,,1.34
May,,,,,,,,,,1.26
June,,,,,,,,,,2.7
July,,,,,,,,,,2.69
August,,,,,,,,,,6.38
September,,,,,,,,,,4.74
October,,,,,,,,,,5.06
November,,,,,,,,,,4.07
December,,,,,,,,,,2.66
Total,,,,,,,,,,39.05
,,,,,,,,,,
"NGR is from the 1950s record, might be 100 yards NW of the sewage works. Altitudes match.",,,,,,,,,,
"Originally considerd to be MIDAS src_id 640 ends 1983 but start date of 1929 means that is SHREWSBURY-MONKMOOR, which is part of SHREWSBURY-NE-MIX",,,,,,,,,,
