"GREENFIELD UPPERWOOD MOOR",,,,,,,,,,,,
Grid ref,SE034060,Long,-1.950154,Lat,53.550622,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.90,,
February,,,,,,,,,,3.20,,
March,,,,,,,,,,4.10,,
April,,,,,,,,,,4.00,,
May,,,,,,,,,,2.70,,
June,,,,,,,,,,4.60,,
July,,,,,,,,,,8.30,,
August,,,,,,,,,,4.40,,
September,,,,,,,,,,3.10,,
October,,,,,,,,,,6.90,,
November,,,,,,,,,,1.90,,
December,,,,,,,,,,7.20,,
Total,,,,,,,,,,53.30,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.30,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
