LLANGWYFAN-HOSPITAL-FIRST-GAUGE,,,,,,,,,,
Grid ref,SJ122661,Long,-3.3153571,Lat,53.184723,Elevation,460,ft.,,
Station no,4312/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.55,,1.7,,,,,,
February,,0.25,,0.3,,,,,,
March,,1.71,1.66,2.06,,,,,,
April,,3.96,0.82,2.56,,,,,,
May,,2.86,1.76,1.95,,,,,,
June,,0.67,1.3,0.84,,,,,,
July,,5.08,1.34,1.74,,,,,,
August,,1.57,,3.01,,,,,,
September,,2.53,0.87,1.6,,,,,,
October,,4.47,4.39,3.33,,,,,,
November,,2.43,2.42,2.89,,,,,,
December,,1.05,0.91,4.17,,,,,,
Total,,29.13,,26.15,,,,,,
,,,,,,,,,,
"NGR is from the 1950s record for the other gauge on the site and is the hospital in Langwyfan. Altitudes match. The readings are noted as being taken by the farm bailiff and a different staton number suffix has been used for this gauge, therefore it might be in a differnt location.",,,,,,,,,,
The 1934 readings seem to have been exchanged between the two gauges and a note suggests the reason for this is that one gauge was more reliable than the other. Readings left in this record.,,,,,,,,,,
