ST-IVES-HALSETOWN-VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW508401,Long,-5.493939,Lat,50.208318,Elevation,324,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,3.83,8.01,4.95,5.04,3.56,4.88,1.57,7.13,7.01,6.27,8.22,3.09,4.6,5.57,8.52,4.76,3.99,4.76,,,,,,5.2,0.95,3.01,6.41,6.4,3.58,5.63,5.46,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,3.44,3.4,3.14,0.01,3.93,0.31,4.12,6.26,6.94,2.18,2.43,6.34,6.57,0.51,2.21,1.54,3.96,2.5,,,,,,1.35,1.64,4.92,5.13,0.97,5.14,5.86,0.4,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.53,4,3.8,2.59,4.4,4.79,0.88,5.14,5.81,0.6,1.7,3.49,4.36,3.36,0.83,0.44,1.45,1.77,,,,,,3.85,1.14,4.49,1.68,1.75,4.66,4.34,4.79,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.13,2.77,1.8,2.68,2.76,3.48,4.6,2.4,3.21,0.02,3.63,3.84,1.65,2.21,2.25,2.63,1.28,1.38,,,,,,3.92,2.91,0.66,1.59,0.56,0.9,1.37,3.46,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,5.6,2.11,3.37,5.8,2.6,1.85,1.32,1.71,2.19,3.12,1.19,0.59,3.24,6.51,4.21,0.73,2.85,3.81,,,,,,2.19,4.12,3.69,4.13,1.21,2.33,3.12,2.02,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,3.35,1.42,3.21,3.12,2.28,2.03,3.4,1.67,1.48,2.39,2.17,1.16,2.39,0.92,1.32,2.78,4.85,1.35,,,,,,0.94,2.28,3.61,4.29,2.51,2.14,4.13,1.23,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.27,3.34,4.89,3.32,2,0.41,0.52,7.18,1.49,3.99,6.42,2.3,1.32,2.75,3.79,3.12,5.28,1.98,,,,,,2.1,4.42,2.94,0.12,4.52,2.93,3.06,2.04,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,3.11,6.59,3.51,1.85,1.17,3.66,2.16,0.69,0.51,4.85,2.29,0.16,5.44,2.98,3.52,2.18,1.53,3.8,,,,,,5.2,2.17,2.09,0.84,3.3,4.49,5.14,2.14,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,0.92,7.11,2.64,5.31,2.58,3.56,4.52,4.08,3.06,2.99,0.79,2.32,1.41,3.64,6.25,2.76,2.03,3.84,,,,,,3.94,3.75,4.79,2.11,5.92,3.18,6,0.07,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,6.92,5.98,1.07,9.16,7.87,3.5,5.3,1.61,3.11,4.98,2.85,4.78,1.77,3.2,5.42,4.88,3.21,4.37,,,,,,5.31,2.76,3.15,4.53,2.26,2.59,2.85,4.79,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
