"ARENIG",,,,,,,,,,,,
Grid ref,SH831392,Long,-3.740861,Lat,52.937426,,,,,,,
Station no,4327/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.70,10.00,3.50,6.30,5.80,7.00,16.20,7.10,8.80,12.30,,
February,6.80,4.40,4.00,6.00,2.80,2.00,7.70,12.00,1.70,8.80,,
March,9.80,3.50,4.70,6.40,3.50,3.90,9.00,1.90,4.80,3.50,,
April,5.80,5.00,6.00,2.80,8.10,2.00,1.10,2.80,8.60,5.10,,
May,2.90,3.20,3.00,4.40,6.90,2.70,4.30,7.00,1.40,2.10,,
June,1.40,4.00,3.30,5.60,8.20,4.70,3.00,5.00,2.70,3.60,,
July,2.60,2.30,9.10,9.60,1.50,10.60,11.90,4.90,6.00,6.80,,
August,7.60,6.60,6.90,8.20,2.10,9.90,10.60,6.60,1.20,4.80,,
September,9.60,6.00,7.70,10.90,3.00,7.20,11.30,12.00,0.80,6.50,,
October,2.10,10.00,4.00,18.30,6.10,6.80,11.40,9.50,9.60,5.30,,
November,12.40,5.30,11.10,15.00,2.30,4.80,4.00,1.90,8.70,18.70,,
December,15.30,8.00,4.20,9.80,10.40,9.60,10.60,6.70,17.20,8.30,,
Total,85.00,68.30,67.50,103.30,60.70,71.20,101.10,77.40,71.50,85.80,,
Calc annual,85.00,68.30,67.50,103.30,60.70,71.20,101.10,77.40,71.50,85.80,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
