ARENIG,,,,,,,,,,,,,,,,,,,,
Grid ref,SH839391,Long,-3.7289275,Lat,52.936701,Elevation,1348,ft.,,,,,,,,,,,,
Station no,4327/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,8.7,10,3.5,6.3,5.8,7,16.2,7.1,8.8,12.3
February,,,,,,,,,,,6.8,4.4,4,6,2.8,2,7.7,12,1.7,8.8
March,,,,,,,,,,,9.8,3.5,4.7,6.4,3.5,3.9,9,1.9,4.8,3.5
April,,,,,,,,,,,5.8,5,6,2.8,8.1,2,1.1,2.8,8.6,5.1
May,,,,,,,,,,,2.9,3.2,3,4.4,6.9,2.7,4.3,7,1.4,2.1
June,,,,,,,,,,,1.4,4,3.3,5.6,8.2,4.7,3,5,2.7,3.6
July,,,,,,,,,,,2.6,2.3,9.1,9.6,1.5,10.6,11.9,4.9,6,6.8
August,,,,,,,,,,,7.6,6.6,6.9,8.2,2.1,9.9,10.6,6.6,1.2,4.8
September,,,,,,,,,,,9.6,6,7.7,10.9,3,7.2,11.3,12,0.8,6.5
October,,,,,,,,,,,2.1,10,4,18.3,6.1,6.8,11.4,9.5,9.6,5.3
November,,,,,,,,,,,12.4,5.3,11.1,15,2.3,4.8,4,1.9,8.7,18.7
December,,,,,,,,,,,15.3,8,4.2,9.8,10.4,9.6,10.6,6.7,17.2,8.3
Total,,,,,70.35,87.2,72.15,83.7,77.7,91.75,85,68.3,67.5,103.3,60.7,71.2,101.1,77.4,71.5,85.8
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is from Met Office MIDAS station information. There is no information on the record to verify. Continues to 1985 from MIDAS, and Arenig 2 is still current.",,,,,,,,,,,,,,,,,,,,
