KINGSBURY-DORS-CLOSE,,,,,,,,,,
Grid ref,TQ207874,Long,-0.25974446,Lat,51.572557,Elevation,155,ft.,,
Station no,860/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.08,2.67,4.17,1.42,2.72,2.22,2.12
February,,,,2.42,1.67,0.48,3.03,2.52,0.06,2.41
March,,,,2.41,1.17,0.99,1.21,1.19,1.99,1.95
April,,,,0.28,0.56,1.02,0.21,1.83,2.29,0.62
May,,,,2.56,4.76,0.44,1.08,2.48,0.67,2.11
June,,,,3.89,1.79,1.88,0.67,4.72,1.22,1.5
July,,,,3.21,0.26,3.79,3.65,2.07,1.23,3.35
August,,,1.82,3.45,0.95,4.75,2,3.18,2.43,2.51
September,,,1.86,2.09,1.51,2.15,2.27,4.6,0.06,4.22
October,,,2.98,2.55,3.82,3.77,2.04,2.57,2.33,5.4
November,,,1.38,3.94,1.11,0.46,2.21,2.37,2.32,3.94
December,,,0.57,1.72,2.21,3.05,1.97,3.12,3.82,2.79
Total,,,,29.6,22.48,26.95,21.76,33.37,20.64,32.92
,,,,,,,,,,
NGR is from 1950s record and is on Dors Close. Stated altitude might be 10ft too high.,,,,,,,,,,
MIDAS src_id 5613 ends 1967,,,,,,,,,,
