UPPER-USK-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN812278,Long,-3.7294597,Lat,51.935987,Elevation,990,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4111/3/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,6.75,2.2,8,11.25,9.5,7.7,2.4,3.8,5.6,10,6,5,8.5,5,12.5,3.25,2.25,7,6.5,1.75,5,5.51,,,,,
February,,,,0.75,6.75,3,8.6,2.6,5.7,2.8,6,0.6,4,1.5,6,5.5,4,4,3,9,7,2,3.5,6,,,,,,
March,,,,4,1.9,3.5,4.4,1.1,3,5,4,4.2,1.4,1,2.8,1.5,12,3,2.25,3.5,6,3.5,5,4.5,,,,,,
April,,,,5,6.5,3.2,3.25,0.45,3.8,2.5,1.5,2.5,2.5,2.5,3.5,2.25,5.5,3,5.25,5,5,4,4.25,1,,,,,,
May,,,,3.5,2.5,2.1,2,6,0.9,2.2,3.2,9.2,5.5,2,6,4,3.5,3.5,4.5,3,3.5,4.5,3,4,,,,,,
June,,,,1.75,5.5,3.4,2.2,4.8,3.9,1.3,1.9,0.4,3.5,3.5,5,4.5,3,5.25,0.75,3,1,4.25,2.25,5.5,,,,,,
July,,,,1.1,1.1,8.25,2.1,5.1,10.8,5.6,4,4.4,5,2.5,4,3.5,3.25,3,1,6,1.5,3,6,5.5,,,,,,
August,,,,4.2,3.2,1.1,1.2,4.6,3.8,0.8,7.2,5.5,5.5,3.5,8,8,0.75,7,4,8,8,6.5,6.25,5.72,,,,,,
September,,,,5,8.5,4,3,2.4,1.1,2.2,0.5,3.6,6,6,4.5,8,3.5,6,2.5,10,5.75,3,6.5,6,,,,,,
October,,,,6.75,7.5,3.9,4.4,7.9,3.1,6.2,6.2,5.4,6.5,7,6.5,2,1.25,6,11,4,1.25,5.75,5.75,11.06,,,,,,
November,,,,2,8.5,6.1,1.6,8.9,12.5,12.5,4.4,1.5,4,9.5,1,12.5,6.5,4,6.75,8.25,13,3.5,6.5,12.49,,,,,,
December,,,,13.5,4.5,9.5,4,6.2,3.6,4.2,4.7,11,2.5,5,8,6.5,6.25,15,7,4.5,7,6,2,6.32,,,,,,
Total,,,,54.3,58.65,56.05,48,59.55,59.9,47.7,47.4,53.9,56.4,50,60.3,66.75,54.5,72.25,51.25,66.5,66,52.5,52.75,73.09,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record and is adjacent to site of the reservoir. Altitudes match. Gauge discontinued when reservoir filled, it is now submerged.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan to Mar 1947 readings have a comment ""…open to doubt… snow.."". Readings left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are 6 gauges in the Upper Usk area and gauges 2, 3 and 4 have significant duplications particularly up to 1954. This coupled with the lateness of the presentation of the readings and the lack or precison in the readings means these readings are suspect for the period up to 1954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
