APPLECROSS (MILLTOWN),,,,,,,,,,
Grid ref,NG707439,Long,-5.821226,Lat,57.427392,Elevation,5,ft,,
Station no,5791/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.94,4.33,,,,,,
February,,,4.89,4.42,,,,,,
March,,,2.15,3.99,,,,,,
April,,,5.65,2.5,,,,,,
May,,,2.89,4.36,,,,,,
June,,,2.02,4.61,,,,,,
July,,2.93,6.02,4.16,,,,,,
August,,4.06,5.33,2.92,,,,,,
September,,5.04,3.79,5.61,,,,,,
October,,6.06,4.52,7.22,,,,,,
November,,3.56,7.01,,,,,,,
December,,5.74,4.8,,,,,,,
Total,,,52.01,,,,,,,
,,,,,,,,,,
1952 Jan-Jun Deleted taken from Applecross Gardens,,,,,,,,,,
1955 G move to 5791/15,Station no,5791/2,,,,,,,,
then to 5791/15,,,,,,,,,,
,,,,,,,,,,
Station no,5791/1,,,,,,,,,
Midas,,,,,,,,,,
Hyd stn,,,,,,,,,,
