WILLESDEN-84-HIGH-ROAD,,,,,,,,,,
Grid ref,TQ228846,Long,-0.2304348,Lat,51.54694,Elevation,170,ft.,,
Station no,RR7740,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.64,2.38,,,,,,
February,,,1.64,,,,,,,
March,,,2.66,,,,,,,
April,,1.8,0.15,,,,,,,
May,,1.64,1.19,,,,,,,
June,,2.32,3.12,,,,,,,
July,,0.87,1.32,,,,,,,
August,,0.54,4.52,,,,,,,
September,,1.58,2.25,,,,,,,
October,,3.45,2.33,,,,,,,
November,,3.63,1.52,,,,,,,
December,,4.54,2.72,,,,,,,
Total,,,27.06,,,,,,,
,,,,,,,,,,
NGR is 84 High Road. Stated altitude slightly high.,,,,,,,,,,
Gauge moved to Richmond Avenue in Feb 1913.,,,,,,,,,,
