MILFORD-MANOR-WOOD,,,,,,,,,,,,,,,,,,,,
Grid ref,SU945421,Long,-0.64970069,Lat,51.170345,Elevation,200,ft.,,,,,,,,,,,,
Station no,183/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,5.34,6.75,2.88,5.12,3.05,2.73,3.06,6.48,1.79,1.68,2.45,2.34,4.99,,
February,,,,,,2.6,4.48,0.53,1.32,2.42,2.75,0.2,1.44,0.72,2.2,2.52,1.47,1.5,,
March,,,,,,1.55,4.34,0.29,1.45,3.11,3.31,2.17,0.6,0.15,0.89,1.14,5.05,0.87,,
April,,,,,,1.99,2.62,0.1,2.55,1.75,0.97,1.94,1.06,1.14,1.02,2.75,2.28,1.87,,
May,,,,,,0.69,3.08,1.26,1.9,0.9,2.45,3.52,3.1,0.7,1.55,3.64,1.7,2.59,,
June,,,,,,3.63,1.9,0.53,1.42,0.89,1.62,0.29,1.3,1.59,2.26,2.42,1.85,2.16,,
July,,,,,,3.6,0.67,1.76,3.5,3.23,2.83,1.92,1.75,1.39,5.78,2.72,1.71,0.81,,
August,,,,,,0.83,0.85,1.88,2.07,0.12,4.39,3.32,1.18,1.53,1.24,4.88,0.32,3.29,,
September,,,,,,2.31,1.83,1.73,0.74,1.49,0.19,1.78,1.51,1.99,2.49,4.16,1.14,1.72,,
October,,,,,,1.8,3.31,2.73,5.32,3.41,1.15,3.81,3.06,4.28,3.25,1.23,0.53,1.64,,
November,,,,,,3.59,2.59,4.47,4.7,7.61,3.5,1.79,1.62,4.17,0.19,5.75,1.18,1.54,,
December,,,,,,3.01,4.16,3.79,1.3,1.46,1.93,3.58,1.9,2.78,4.36,3.29,2.76,4.32,,
Total,,,,,,30.94,36.58,21.95,31.39,29.44,27.82,27.38,25,22.23,26.91,36.95,22.33,27.3,,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record. Altitudes match.,,,,,,,,,,,,,,,,,,,,
Cannot find Manor Wood but NGR matches relationship to church and NGR is on a road called The Manor.,,,,,,,,,,,,,,,,,,,,
"In 1939 the observer lived at 2 Farm Cottage, Upper Manor Road, which is near the NGR used.",,,,,,,,,,,,,,,,,,,,
