"UPPER FARG (MAIN BANK)",,,,,,,,,,,,
Grid ref,NO109109,Long,-3.440732,Lat,56.282164,,,,,,,
Station no,5536,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.00,2.96,0.67,2.72,2.06,3.20,5.90,3.17,1.38,3.27,,
February,3.59,0.45,1.52,3.30,2.61,1.91,3.54,2.49,1.03,2.84,,
March,2.82,3.48,1.26,3.37,2.54,1.56,2.77,2.93,1.92,1.53,,
April,3.25,2.18,2.48,1.88,1.25,0.86,1.45,2.22,2.23,2.18,,
May,2.47,1.96,2.66,6.44,3.21,1.78,2.00,2.54,0.83,2.53,,
June,2.40,2.63,1.81,3.39,1.57,2.72,1.18,4.50,2.07,1.80,,
July,4.35,2.46,4.34,1.82,1.45,5.70,4.43,6.73,6.18,3.49,,
August,5.99,4.56,2.71,4.08,1.11,5.13,3.99,4.46,0.54,4.65,,
September,2.75,2.49,3.28,3.68,1.95,4.46,2.31,3.80,0.69,1.82,,
October,0.76,3.18,1.45,6.97,2.24,2.25,2.79,2.49,2.90,5.40,,
November,8.42,2.25,4.63,6.14,1.74,0.68,2.60,1.20,7.44,3.91,,
December,4.18,2.70,4.60,4.21,6.07,4.38,4.89,6.62,6.12,3.21,,
Total,44.98,31.30,31.41,48.00,27.80,34.63,37.85,43.15,33.33,36.63,,
Calc annual,44.98,31.30,31.41,48.00,27.80,34.63,37.85,43.15,33.33,36.63,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
